,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,1.0,1.0,0.64,1.0,0.49,0.77,0.98,0.87,0.89,1.0,0.29,0.86,0.84,0.74,0.71,1.0
codeblocks.csv,0.79,0.53,0.58,0.65,0.66,0.55,0.76,0.59,0.62,0.93,0.69,0.84,0.33,0.84,0.5,1.0
grisbi.csv,0.79,0.77,0.78,0.97,0.84,0.76,0.2,0.92,0.89,0.79,0.71,0.77,0.43,0.96,0.73,0.65
libmesh.csv,0.85,0.87,0.71,0.94,0.8,1.06,1.1,0.94,0.46,0.99,0.75,0.79,0.93,0.66,0.85,1.0
mesa3d.csv,0.75,0.65,0.67,0.58,1.0,0.6,0.68,0.79,0.78,0.86,0.61,0.72,0.44,0.85,0.69,0.58
panda3d.csv,0.97,0.65,0.65,0.75,0.91,0.69,0.39,0.9,0.81,0.43,0.66,0.46,0.94,0.95,0.56,0.64
proftp.csv,0.98,0.77,0.65,0.91,0.77,0.3,0.67,0.96,0.91,1.0,1.0,0.67,0.94,0.7,0.95,0.99
qmmp.csv,0.54,0.63,0.79,0.66,0.64,0.56,0.45,0.89,1.0,0.93,0.76,0.72,0.51,0.77,0.38,0.81
red5.csv,0.93,0.84,0.68,0.47,0.78,0.65,1.04,0.72,0.59,0.99,0.97,0.89,0.4,0.94,0.68,0.9
soar.csv,0.92,1.0,0.89,0.9,1.0,1.0,1.0,0.95,1.0,0.95,0.97,0.99,0.81,0.46,1.0,1.0
super-tux.csv,0.86,0.88,0.58,0.6,0.76,0.79,1.07,0.58,0.59,0.95,0.72,0.77,0.1,0.91,0.55,0.82
t-2.csv,0.77,0.76,0.59,0.83,0.8,0.9,1.0,0.39,0.53,1.0,0.65,0.84,0.62,0.9,0.62,0.71
tart.csv,0.75,0.84,0.72,0.78,0.53,0.84,0.43,0.77,0.78,0.93,0.25,0.69,0.66,0.96,0.63,0.89
tcvp.csv,0.95,0.89,1.0,0.95,1.0,1.0,0.98,0.96,1.0,0.34,1.01,1.0,0.99,1.0,1.0,1.0
utgb.csv,0.94,0.63,0.36,0.72,0.64,0.63,0.61,0.93,0.86,0.71,0.74,0.62,0.53,0.82,0.62,0.64
xbrlapi.csv,0.47,0.98,0.9,0.83,0.63,0.74,0.55,0.68,0.8,1.0,0.83,0.74,1.01,0.81,0.82,0.99
