,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.08,0.0,0.1,0.0,0.45,0.05,0.0,0.25,0.13,0.0,0.21,0.13,0.0,0.36,0.29,0.0
codeblocks.csv,0.7,0.46,0.26,0.07,0.66,0.49,0.71,0.15,0.61,0.92,0.69,0.66,0.2,0.0,0.29,0.0
grisbi.csv,0.75,0.72,0.77,0.97,0.84,0.76,0.07,0.86,0.87,0.76,0.71,0.77,0.4,0.92,0.73,0.63
libmesh.csv,0.15,0.26,0.32,0.24,0.45,0.43,0.86,0.31,0.41,0.99,0.45,0.39,0.8,0.24,0.71,0.09
mesa3d.csv,0.22,0.54,0.29,0.28,0.04,0.57,0.14,0.67,0.57,0.86,0.57,0.39,0.2,0.76,0.48,0.29
panda3d.csv,0.18,0.38,0.52,0.66,0.06,0.54,0.0,0.08,0.26,0.36,0.53,0.34,0.8,0.92,0.44,0.37
proftp.csv,0.05,0.1,0.35,0.03,0.08,0.19,0.07,0.13,0.22,0.0,0.04,0.2,0.0,0.56,0.05,0.0
qmmp.csv,0.32,0.18,0.55,0.62,0.48,0.35,0.36,0.88,1.0,0.91,0.65,0.36,0.4,0.6,0.21,0.73
red5.csv,0.92,0.82,0.65,0.38,0.7,0.59,0.93,0.7,0.57,0.99,0.97,0.86,0.4,0.88,0.61,0.89
soar.csv,0.9,1.0,0.84,0.9,1.0,1.0,1.0,0.91,1.0,0.95,0.97,0.99,0.8,0.24,1.0,1.0
super-tux.csv,0.57,0.87,0.42,0.34,0.7,0.78,1.0,0.53,0.52,0.95,0.7,0.73,0.0,0.12,0.47,0.8
t-2.csv,0.45,0.74,0.16,0.14,0.78,0.35,1.0,0.16,0.26,1.0,0.65,0.61,0.6,0.84,0.44,0.37
tart.csv,0.12,0.1,0.68,0.66,0.31,0.84,0.43,0.57,0.67,0.93,0.25,0.19,0.2,0.88,0.47,0.06
tcvp.csv,0.05,0.1,0.03,0.0,0.04,0.0,0.0,0.01,0.0,0.26,0.11,0.04,0.0,0.0,0.0,0.01
utgb.csv,0.18,0.31,0.26,0.17,0.29,0.49,0.07,0.12,0.3,0.55,0.44,0.21,0.0,0.64,0.16,0.35
xbrlapi.csv,0.38,0.05,0.74,0.76,0.28,0.05,0.07,0.36,0.33,0.01,0.22,0.27,0.2,0.8,0.15,0.01
