,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.5,0.31,0.46,0.71,0.63,1.0,0.0,0.48,0.13,0.56,0.95,0.07,0.8,0.16,0.18,0.14,0.15
codepurge.csv,0.53,0.48,0.44,0.17,0.54,0.52,0.0,0.5,0.22,0.51,0.93,0.13,0.87,1.0,0.1,0.45,0.1
fontforge.csv,0.42,0.5,0.88,0.46,0.52,0.52,0.0,1.0,0.21,0.5,0.95,0.21,0.8,0.25,0.0,0.14,0.25
gmerlin.csv,0.5,0.22,0.57,0.29,0.62,0.43,0.0,0.49,0.06,0.61,0.83,0.17,0.68,0.14,0.19,1.0,0.12
hatari.csv,0.62,0.3,1.0,0.39,0.8,0.46,0.0,0.39,0.1,0.53,0.91,0.1,0.7,0.18,0.14,0.41,0.22
jaolt.csv,0.42,0.34,0.43,0.35,0.71,0.44,0.04,0.43,0.16,0.51,0.88,0.13,0.97,0.1,0.19,0.33,0.11
jcl.csv,1.0,0.36,0.38,0.28,0.76,0.33,0.0,0.4,0.14,0.42,0.8,0.07,0.0,0.08,1.0,0.33,0.21
ltp.csv,0.0,0.31,1.0,0.5,0.99,0.56,0.0,0.43,0.0,0.0,1.0,0.0,0.62,0.2,0.0,1.0,0.0
mia.csv,0.61,0.69,0.0,0.67,0.7,0.36,0.0,1.0,0.11,0.49,0.77,1.0,0.75,0.25,0.11,0.33,0.0
net-snmp.csv,0.98,0.48,0.65,0.39,0.72,0.46,0.07,0.47,0.16,0.57,0.88,0.12,0.8,0.21,0.12,0.3,0.19
opde.csv,0.4,0.35,0.5,1.0,0.72,0.43,0.04,0.62,0.13,0.47,0.79,0.13,0.77,0.14,0.11,0.3,0.17
oppna-program-hsatools.csv,0.47,0.3,0.47,0.37,0.7,0.46,0.02,0.44,0.14,0.5,1.0,0.09,0.72,0.19,0.11,0.35,0.21
powerfolder-.csv,0.5,1.0,1.0,0.33,0.32,0.4,0.0,0.57,0.14,0.55,0.8,0.25,0.87,0.5,0.15,0.5,0.27
qlc.csv,0.0,0.57,0.0,0.44,0.67,0.3,0.0,0.0,1.0,0.57,0.5,0.12,0.89,0.31,0.12,0.36,0.1
quantlib.csv,0.24,0.28,0.55,0.3,0.56,0.4,0.05,0.44,0.14,0.47,0.79,0.14,0.67,0.13,0.12,0.43,1.0
tcl.csv,0.5,0.36,0.5,0.33,0.75,0.4,0.0,0.75,0.09,1.0,0.85,0.14,0.86,0.18,0.17,0.14,0.2
