,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.93,0.56,0.41,0.36,0.43,0.69,0.85,0.44,0.71,0.65,0.49,0.61,0.78,0.38,0.59,0.51,0.64
cubefs.csv,0.53,0.81,0.58,0.61,0.36,0.52,0.69,0.49,0.48,0.72,0.46,0.39,0.54,0.73,0.34,0.56,0.4
gwanted.csv,0.42,0.43,0.4,0.48,0.8,0.7,0.46,0.53,0.72,0.65,0.45,0.88,0.46,0.0,0.43,0.0,0.44
iaml.csv,0.69,0.74,0.56,0.93,0.62,0.62,0.77,0.55,0.62,0.79,0.94,0.93,0.61,0.65,0.86,0.93,0.52
java-gnome.csv,0.39,0.69,0.95,0.46,0.37,0.38,0.88,0.69,0.66,0.45,0.91,0.44,0.71,0.69,0.65,0.46,0.82
mecat.csv,0.82,0.98,0.5,0.93,0.56,0.67,0.0,0.97,0.67,0.94,0.0,0.67,0.83,0.0,0.9,0.0,0.6
mvdsv.csv,0.9,0.95,0.8,0.93,0.91,0.5,0.53,0.95,0.94,0.95,0.94,0.84,0.75,0.0,0.76,0.0,0.67
openwbem.csv,0.41,0.48,0.41,0.59,0.52,0.51,0.62,0.61,0.85,0.66,0.68,0.92,0.5,0.43,0.5,0.91,0.41
orc.csv,0.83,0.5,0.38,0.58,0.67,0.92,0.41,0.56,0.72,0.64,0.48,0.83,0.69,0.75,0.33,0.91,0.83
plato.csv,0.36,0.49,0.39,0.32,0.38,0.47,0.53,0.42,0.44,0.6,0.96,0.92,0.35,0.4,0.43,0.41,0.41
rodin-b-sharp.csv,0.82,0.83,0.61,0.95,0.43,0.94,0.55,0.67,0.5,0.62,0.93,0.38,0.5,0.0,0.42,0.55,0.72
ta3d.csv,0.42,0.99,0.93,0.94,0.8,0.39,0.75,0.88,0.59,0.5,0.86,0.54,0.82,0.75,0.5,0.57,0.4
tycho.csv,0.81,0.66,0.49,0.87,0.91,0.6,0.83,0.61,0.92,0.77,0.5,0.79,0.57,0.51,0.65,0.95,0.48
umber.csv,0.52,0.52,0.4,0.29,0.38,0.54,0.44,0.42,0.44,0.47,0.45,0.38,0.36,0.61,0.34,0.36,0.41
vienna-add-in.csv,0.56,0.67,0.58,0.39,0.88,0.58,0.63,0.65,0.68,0.5,0.65,0.81,0.57,0.56,0.43,0.54,0.5
wpdev.csv,0.34,0.49,0.39,0.29,0.38,0.42,0.42,0.38,0.43,0.43,0.41,0.38,0.38,0.4,0.34,0.39,0.42
