,orc.csv,magicwars.csv,haggle.csv,java-gnome.csv,archive-crawler.csv,servicestack.csv,gisgraphy.csv
archive-crawler.csv,0.14,0.05,0.27,0.31,0.0,0.02,0.15
gisgraphy.csv,0.25,0.79,0.41,0.38,0.29,0.78,0.0
haggle.csv,0.21,0.16,0.02,0.19,0.25,0.02,0.04
java-gnome.csv,0.46,0.0,0.17,0.0,0.4,0.07,0.29
magicwars.csv,1.0,0.01,1.0,1.0,0.96,1.0,0.92
orc.csv,0.0,0.14,0.05,0.0,0.27,0.48,0.17
servicestack.csv,0.36,0.12,0.71,0.5,0.55,0.02,0.71
