,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,3.0,0.0,2.0,60.0,2.0,7.0,1.0,5.0,1.0,0.0
chaosrts.csv,6.0,5.0,4.0,43.0,2.0,0.0,5.0,11.0,1.0,0.0
lazarus-ccr.csv,1.0,0.0,0.0,41.0,1.0,2.0,3.0,12.0,0.0,2.0
linuxsh.csv,2.0,0.0,0.0,6.0,1.0,0.0,6.0,74.0,0.0,0.0
migen.csv,4.0,1.0,3.0,17.0,0.0,0.0,2.0,7.0,1.0,1.0
moviesandbox.csv,0.0,1.0,1.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0
sauerbraten.csv,0.0,0.0,4.0,20.0,0.0,6.0,5.0,5.0,1.0,2.0
scite-ru.csv,0.0,5.0,65.0,77.0,0.0,2.0,0.0,5.0,1.0,2.0
vrjuggler.csv,62.0,5.0,65.0,35.0,2.0,2.0,13.0,0.0,0.0,1.0
xuggle.csv,4.0,5.0,4.0,0.0,1.0,2.0,14.0,1.0,1.0,2.0
