,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.71,0.64,0.47,0.32,0.43,0.58,0.19,0.32,0.13,0.11
chaosrts.csv,0.96,0.96,1.0,0.77,0.97,0.81,0.88,0.92,1.0,0.0
lazarus-ccr.csv,0.58,0.0,0.07,0.49,0.74,0.33,0.33,0.42,0.64,0.37
linuxsh.csv,0.29,0.25,0.0,0.13,0.37,0.02,0.29,0.0,0.09,0.0
migen.csv,0.29,0.43,0.85,0.16,0.26,0.0,0.17,0.24,0.71,0.21
moviesandbox.csv,0.29,0.29,0.29,0.16,0.03,0.19,0.0,0.03,0.4,0.26
sauerbraten.csv,0.0,0.46,1.0,0.22,0.31,0.42,0.37,0.19,1.0,0.37
scite-ru.csv,0.0,0.36,0.07,0.38,0.03,0.47,0.08,0.29,0.33,0.74
vrjuggler.csv,0.04,0.54,0.04,0.09,0.17,0.35,0.42,0.05,0.02,0.37
xuggle.csv,0.58,0.64,0.95,0.01,0.74,0.67,0.85,0.02,0.87,0.21
