,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.56,0.42,0.21,0.14,0.56,0.32,0.29,0.14,0.92,0.93
chaosrts.csv,0.62,0.46,0.17,0.14,0.56,0.47,0.31,0.18,0.62,1.0
lazarus-ccr.csv,0.7,1.0,0.5,0.16,0.61,0.5,0.32,0.14,0.6,0.94
linuxsh.csv,0.59,0.46,1.0,0.11,0.59,0.83,0.25,0.0,0.58,1.0
migen.csv,0.75,0.43,0.13,0.2,0.73,1.0,0.31,0.18,0.57,0.92
moviesandbox.csv,0.82,0.43,0.2,0.25,0.98,0.64,1.0,0.33,0.46,0.83
sauerbraten.csv,1.0,0.55,0.17,0.24,0.71,0.53,0.21,0.15,0.62,0.94
scite-ru.csv,1.0,0.44,0.0,0.09,0.83,0.44,0.83,0.23,0.31,0.88
vrjuggler.csv,0.0,0.32,0.0,0.05,0.33,0.32,0.15,0.83,0.83,0.76
xuggle.csv,0.5,0.4,0.17,0.95,0.55,0.36,0.23,0.5,0.62,0.83
