,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.56,0.54,0.64,0.41,0.43,0.35,0.19,0.19,0.94,0.19
chaosrts.csv,0.97,0.96,1.0,1.0,0.98,0.91,1.0,0.75,1.0,0.98
lazarus-ccr.csv,0.85,0.92,0.36,0.76,0.91,0.41,0.38,0.25,0.6,0.73
linuxsh.csv,0.26,0.25,0.91,0.13,0.43,0.15,0.24,0.0,0.08,0.07
migen.csv,0.54,0.38,0.64,0.33,0.55,0.97,0.19,0.19,0.58,0.35
moviesandbox.csv,0.82,0.25,0.36,0.43,0.95,0.41,0.05,0.06,0.22,0.18
sauerbraten.csv,0.95,0.67,1.0,0.57,0.61,0.59,0.24,0.12,1.0,0.86
scite-ru.csv,0.05,0.33,0.0,0.28,0.11,0.47,0.9,0.31,0.09,0.77
vrjuggler.csv,0.0,0.29,0.0,0.04,0.07,0.21,0.19,0.94,0.06,0.16
xuggle.csv,0.36,0.5,1.0,0.83,0.73,0.47,0.62,0.06,0.9,0.14
