,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.46,0.39,0.61,0.6,0.59,0.49,0.79,0.59,0.54,0.9
chaosrts.csv,0.33,0.36,0.44,0.45,0.39,0.36,0.33,0.39,0.45,0.4
lazarus-ccr.csv,0.36,0.59,0.88,0.57,0.41,0.5,0.64,0.86,0.45,0.52
linuxsh.csv,0.82,0.77,0.9,0.98,0.62,0.83,0.85,0.0,0.92,0.9
migen.csv,0.46,0.52,0.52,0.81,0.55,0.55,0.92,0.94,0.66,0.49
moviesandbox.csv,0.33,0.79,0.8,0.76,0.49,0.55,0.0,0.67,0.8,0.93
sauerbraten.csv,0.41,0.38,0.44,0.72,0.5,0.45,0.67,0.92,0.45,0.43
scite-ru.csv,0.5,0.89,0.75,0.99,0.83,0.72,0.65,0.91,0.96,0.47
vrjuggler.csv,0.0,0.73,0.5,0.97,0.89,0.95,0.65,0.89,0.83,0.93
xuggle.csv,0.57,0.57,0.46,0.97,0.38,0.58,0.4,0.5,0.49,0.96
