,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.56,0.02,0.0,0.35,0.1,0.3,0.59,0.16,0.45,0.52,0.67,0.41,0.41,0.54,0.52,0.78,0.2,0.0
brlcad.csv,0.76,0.53,0.44,0.31,0.48,0.1,0.53,0.4,0.33,0.47,0.28,0.26,0.32,0.34,0.49,0.64,0.08,0.33
genoviz.csv,0.36,0.08,0.0,0.58,0.0,0.07,0.46,0.21,0.44,0.46,0.38,0.26,0.27,0.1,0.27,0.2,0.27,0.77
gnupdate.csv,0.74,0.45,0.28,0.3,0.67,0.57,0.41,0.48,0.49,0.45,0.41,0.53,0.2,0.72,0.65,0.7,0.44,0.18
google-gears.csv,0.56,0.43,0.22,0.23,0.33,0.79,0.45,0.61,0.5,0.6,0.73,0.7,0.37,0.78,0.57,0.83,0.73,0.17
konversation.csv,0.76,0.32,0.33,0.4,0.48,0.59,0.56,0.66,0.48,0.41,0.53,0.58,0.33,0.66,0.51,0.73,0.43,0.11
linux-ntfs.csv,0.63,0.28,0.13,0.3,0.13,0.76,0.47,0.47,0.48,0.58,0.78,0.37,0.35,0.56,0.63,0.51,0.59,0.25
linuxsh.csv,0.72,0.33,0.58,0.44,0.36,0.04,0.47,0.54,0.41,0.56,0.25,0.4,0.18,0.22,0.29,0.57,0.12,0.25
modplug.csv,0.76,0.41,0.29,0.23,0.38,0.74,0.55,0.65,0.57,0.62,0.81,0.75,0.43,0.8,0.66,0.87,0.66,0.19
nativeclient.csv,0.7,0.45,0.26,0.3,0.5,0.62,0.55,0.67,0.6,0.61,0.74,0.63,0.49,0.77,0.67,0.78,0.71,0.21
ogre.csv,0.13,0.29,0.16,0.23,0.26,0.97,0.39,0.39,0.41,0.33,0.59,0.51,0.31,0.82,0.69,0.67,0.69,0.14
openfrag.csv,0.77,0.42,0.36,0.29,0.43,0.29,0.44,0.59,0.51,0.68,0.72,0.76,0.44,0.6,0.64,0.86,0.57,0.17
projecteqemu.csv,0.77,0.4,0.28,0.47,0.37,0.14,0.51,0.66,0.6,0.74,0.66,0.32,0.47,0.46,0.54,0.51,0.65,0.22
qse.csv,0.76,0.27,0.4,0.31,0.32,0.25,0.59,0.79,0.51,0.63,0.63,0.48,0.32,0.63,0.52,0.69,0.38,0.13
sandiaportals.csv,0.75,0.45,0.3,0.28,0.51,0.35,0.47,0.67,0.53,0.68,0.67,0.71,0.39,0.7,0.6,0.87,0.66,0.19
sauerbraten.csv,0.78,0.39,0.29,0.23,0.3,0.96,0.44,0.6,0.54,0.63,0.89,0.7,0.4,0.8,0.64,0.85,0.74,0.05
turbotrader-bos.csv,0.78,0.2,0.22,0.47,0.35,0.09,0.56,0.59,0.65,0.64,0.56,0.45,0.46,0.31,0.5,0.66,0.26,0.18
xapian.csv,0.54,0.22,0.25,0.24,0.31,0.63,0.48,0.62,0.46,0.61,0.76,0.7,0.61,0.82,0.67,0.53,0.72,0.17
