,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.59,0.55,0.71,0.53,0.38,0.71,0.27,0.74,0.55,0.65,0.64,0.59,0.71,0.36,0.97,0.64,0.7,0.56,0.67
fbmanager.csv,0.0,0.0,0.75,0.04,0.0,0.09,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.28,0.0
fido.csv,0.0,0.11,0.0,0.07,0.17,0.05,0.41,0.0,0.04,0.0,0.0,0.97,0.0,0.0,0.24,0.23,0.01,0.11,0.52
fityk.csv,0.59,0.5,0.67,0.6,0.58,0.72,0.61,0.59,0.61,0.67,0.8,0.49,0.67,0.69,0.56,0.54,0.59,0.0,0.73
fleet-simulator.csv,0.57,0.34,0.34,0.4,0.51,0.0,0.55,0.61,0.0,0.51,0.35,0.3,0.62,0.55,0.97,0.57,0.54,0.0,0.6
freenet.csv,0.51,0.34,0.43,0.68,0.53,0.17,0.66,0.24,0.45,0.13,0.09,0.68,0.7,0.32,0.0,0.61,0.65,0.0,0.65
geogebra.csv,0.54,0.42,0.66,0.64,0.36,0.52,0.26,0.53,0.55,0.68,0.61,0.29,0.58,0.56,0.4,0.4,0.69,0.49,0.65
google-caja.csv,0.71,0.59,0.72,0.52,0.24,0.57,0.82,0.13,0.62,0.63,0.36,0.13,0.65,0.67,0.8,0.54,0.59,0.0,0.13
hibernate.csv,0.53,0.49,0.46,0.54,0.54,0.59,0.52,0.09,0.51,0.25,0.56,0.71,0.69,0.62,0.13,0.55,0.64,0.0,0.61
itext.csv,0.58,0.35,0.75,0.64,0.0,0.74,0.27,0.56,0.57,0.77,0.45,0.79,0.71,0.66,0.73,0.68,0.7,0.82,0.72
k3b.csv,0.64,0.43,0.72,0.64,0.59,0.17,0.62,0.61,0.7,0.63,0.83,0.56,0.7,0.62,0.52,0.61,0.5,0.0,0.59
megameknet.csv,0.59,0.57,0.52,0.67,0.4,0.63,0.27,0.49,0.53,0.47,0.58,0.51,0.68,0.67,0.35,0.55,0.57,0.82,0.62
myfaces.csv,0.63,0.48,0.43,0.52,0.55,0.48,0.32,0.69,0.44,0.37,0.64,0.52,0.56,0.59,0.78,0.61,0.59,0.53,0.65
onotoa.csv,0.34,0.29,0.21,0.32,0.63,0.28,0.24,0.32,0.45,0.14,0.2,0.47,0.3,0.46,0.31,0.44,0.12,0.0,0.39
paintown.csv,0.73,0.63,0.59,0.62,0.54,0.0,0.0,0.21,0.59,0.57,0.36,0.47,0.17,0.66,0.0,0.41,0.3,0.0,0.09
powerfolder.csv,0.48,0.19,0.59,0.32,0.49,0.35,0.16,0.56,0.58,0.21,0.98,0.53,0.54,0.46,0.42,0.48,0.42,0.19,0.29
triplea.csv,0.58,0.64,0.58,0.44,0.55,0.37,0.57,0.27,0.66,0.59,0.78,0.27,0.57,0.57,0.94,0.53,0.64,0.78,0.57
xamj.csv,0.61,0.38,0.67,0.37,0.5,0.63,0.54,0.77,0.65,0.52,0.82,0.6,0.42,0.64,0.58,0.56,0.57,0.41,0.69
