,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.36,1.0,0.76,0.37,0.34,0.22,0.52,1.0,0.88,0.31,0.4,0.54,0.41,0.55,0.73,0.62,0.8,0.29
decidr.csv,0.46,0.52,0.58,0.85,0.8,0.97,0.23,0.98,1.0,0.9,0.72,0.68,0.92,0.95,0.65,0.75,1.0,0.79
doomlegacy.csv,0.25,0.0,0.9,0.04,0.53,0.42,0.8,0.04,0.01,0.51,0.28,0.52,0.95,0.05,0.42,0.15,1.0,0.0
elmo.csv,0.36,0.31,0.1,0.41,0.35,0.38,0.18,0.32,0.18,0.13,0.18,0.12,0.22,0.39,0.62,0.23,0.29,0.14
gpac.csv,0.22,1.0,0.91,0.96,0.51,0.77,0.97,0.28,1.0,0.97,0.95,0.78,0.97,0.87,0.69,0.94,0.98,0.79
illumination.csv,0.0,0.94,0.06,0.85,0.0,0.8,0.02,0.0,0.0,0.67,0.65,0.39,1.0,0.95,0.0,0.12,0.98,0.93
img-browse-sort.csv,0.21,0.34,0.18,0.11,0.17,0.16,0.29,0.23,0.12,0.46,0.28,0.2,0.16,0.18,0.08,0.4,0.04,0.21
ktc.csv,0.22,0.3,0.34,0.07,0.22,0.13,0.2,0.53,0.33,0.26,0.05,0.28,0.14,0.76,0.35,0.31,0.07,0.21
neoengine.csv,0.38,0.97,0.32,0.37,0.37,0.65,0.64,0.98,0.79,0.62,0.26,0.76,0.27,0.74,0.65,0.78,0.39,0.57
nicepress.csv,0.42,0.69,0.9,0.37,0.41,0.19,0.43,0.94,0.96,0.46,0.23,0.24,0.7,0.68,0.12,0.34,0.61,0.07
omseek.csv,0.05,0.01,0.03,0.0,0.02,0.07,0.15,0.02,0.05,0.33,0.13,0.21,0.14,0.53,0.0,0.06,0.0,0.14
pi-qmc.csv,0.41,1.0,0.68,0.63,0.33,0.38,0.33,1.0,0.98,0.38,0.37,0.79,0.3,0.74,0.81,0.8,0.18,0.57
rosegarden.csv,0.41,0.58,0.91,0.11,0.23,0.33,0.78,0.34,0.24,0.18,0.36,0.66,0.65,0.71,0.62,0.25,0.71,0.29
sigil.csv,0.3,0.33,0.31,0.19,0.24,0.3,0.65,0.21,0.12,1.0,0.55,0.36,0.16,0.45,0.19,0.42,0.11,0.29
smarttag.csv,0.6,0.46,0.96,0.63,0.44,0.3,0.34,0.62,0.36,0.36,0.51,0.56,0.16,0.58,0.73,0.58,0.12,0.43
sylpheed-claws.csv,0.88,1.0,0.77,1.0,0.93,1.0,0.83,0.49,0.27,0.92,1.0,0.99,0.95,0.97,1.0,0.97,0.98,1.0
xemeiah.csv,0.28,0.16,0.73,0.04,0.3,0.58,0.88,0.57,0.73,0.79,0.28,0.18,0.32,0.79,0.23,0.2,0.25,0.14
zscreen.csv,0.64,0.12,0.73,0.26,0.61,0.81,0.64,0.89,0.74,0.44,0.64,0.43,0.3,0.82,0.73,0.62,0.09,0.93
