,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.92,0.73,0.67,0.59,0.61,0.51,0.81,0.62,0.55,0.66,0.63,0.02,0.63,0.75,0.48,0.77,0.75,0.54,0.54,0.67
ardour.csv,0.78,0.76,0.57,0.46,0.83,1.0,0.61,0.82,0.47,0.91,0.74,0.76,0.02,0.63,0.5,0.82,0.6,0.59,0.63,0.62
arianne.csv,0.72,0.01,0.76,0.8,0.71,0.9,0.86,0.33,0.82,0.66,0.8,0.76,0.86,0.79,0.89,0.68,0.84,0.87,0.65,0.89
bacnet.csv,0.64,0.79,0.61,0.49,0.67,0.64,0.52,0.6,0.6,0.11,0.74,0.68,0.54,0.65,0.43,0.64,0.56,0.64,0.5,0.59
cortex-vfx.csv,0.51,0.78,0.53,0.52,0.79,0.47,0.69,0.73,0.61,0.75,0.68,0.76,0.67,0.76,0.83,0.86,0.56,0.05,0.7,0.53
emeraldemu.csv,0.63,0.68,0.66,0.04,0.49,0.61,0.55,0.57,0.5,0.79,0.65,0.72,0.56,0.77,0.83,0.84,0.6,0.62,0.81,0.59
fritzing.csv,0.04,0.69,0.42,0.48,0.66,0.48,0.52,0.56,0.41,0.77,0.7,0.73,0.65,0.6,0.43,0.62,0.48,0.58,0.57,0.59
gnupdate.csv,0.55,0.79,0.6,0.65,0.56,0.7,0.79,0.84,0.58,0.77,0.0,0.8,0.53,0.75,0.54,0.94,0.53,0.56,0.66,0.74
grafx2.csv,0.47,0.83,0.61,0.48,0.44,0.69,0.6,0.0,0.49,0.69,0.47,0.7,0.52,0.62,0.66,0.86,0.7,0.58,0.76,0.69
gstreamer.csv,0.59,0.63,0.58,0.6,0.46,0.74,0.55,0.61,0.56,0.66,0.57,0.56,0.46,0.55,0.63,0.56,0.55,0.72,0.03,0.57
keyczar.csv,0.9,0.76,0.64,0.7,0.66,0.56,0.78,0.55,0.7,0.63,0.41,0.64,0.85,0.59,0.57,0.07,0.79,0.75,0.52,0.63
linux-ntfs.csv,0.76,0.8,0.85,0.54,0.75,0.49,0.65,0.66,0.64,0.74,0.76,0.75,0.72,0.75,0.69,0.55,0.6,0.66,0.67,0.03
multitude.csv,0.6,0.61,0.48,0.53,0.47,0.54,0.52,0.41,0.46,0.63,0.68,0.73,0.59,0.04,0.69,0.5,0.5,0.49,0.53,0.61
planeshift.csv,0.59,0.67,0.6,0.66,0.57,0.62,0.03,0.44,0.6,0.58,0.6,0.71,0.82,0.52,0.56,0.88,0.69,0.8,0.52,0.85
rsyslog.csv,0.55,0.65,0.61,0.61,0.57,0.09,0.81,0.37,0.55,0.63,0.83,0.71,0.69,0.54,0.51,0.63,0.68,0.8,0.73,0.69
salasaga.csv,0.8,0.85,0.83,0.68,0.78,0.66,0.84,0.95,0.8,0.79,0.92,0.86,0.77,0.82,0.04,0.73,0.82,0.75,0.92,0.62
wow-qrsk.csv,0.57,0.77,0.59,0.53,0.69,0.8,0.76,1.0,0.03,1.0,0.79,0.7,0.67,0.74,0.98,0.98,0.7,0.72,0.82,0.69
xmoto.csv,0.58,0.72,0.46,0.6,0.52,0.67,0.48,0.66,0.57,0.69,0.83,0.72,0.57,0.68,0.66,0.7,0.08,0.72,0.75,0.76
xuggle.csv,0.61,0.86,0.02,0.71,0.94,0.87,0.62,0.98,0.83,0.98,0.92,0.99,0.71,0.83,1.0,0.92,0.78,0.94,0.7,0.96
yield.csv,0.77,0.85,0.62,0.68,0.02,0.59,0.74,0.5,0.55,0.78,0.74,0.67,0.59,0.59,0.59,0.69,0.62,0.69,0.61,0.56
