,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.27,1.0,0.22,0.88,0.78,1.0,0.18,0.38,1.0,1.0,0.72
ivatamasks.csv,0.26,1.0,0.1,0.81,0.67,0.81,0.33,0.2,0.75,0.56,0.73
java-gnome.csv,0.5,1.0,0.12,0.8,0.65,0.88,0.54,0.18,0.96,0.5,0.74
orc.csv,0.11,1.0,0.62,0.69,0.0,0.93,0.42,0.35,0.0,0.0,0.89
plato.csv,0.26,0.99,0.1,0.68,0.67,0.95,0.37,0.2,0.81,0.56,0.73
rodin-b-sharp.csv,0.0,0.91,0.44,0.44,0.62,0.82,0.82,0.11,0.84,0.0,0.89
tycho.csv,0.1,0.99,0.17,0.67,0.73,0.93,0.21,0.32,0.83,0.81,0.7
umber.csv,0.94,0.98,0.11,0.74,0.71,0.83,0.49,0.15,0.79,0.29,0.8
unicase.csv,0.47,0.98,0.1,0.66,0.6,0.88,0.4,0.19,0.78,0.54,0.81
vienna-add-in.csv,0.28,0.98,0.09,0.67,0.78,0.9,0.36,0.21,0.79,0.61,0.69
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.84,0.36,0.16,0.78,0.56,0.72
