,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,
gwanted.csv,0.38,0.44,0.24,0.59,0.48,0.38,0.09,0.33,0.03,0.16,0.7,1
ivatamasks.csv,0.41,0.85,0.18,0.86,0.79,0.7,0.46,0.34,0.73,0.71,0.83,7
java-gnome.csv,0.63,0.37,0.19,0.69,0.69,0.28,0.55,0.27,0.91,0.29,0.44,4
orc.csv,0.07,0.33,0.42,0.29,0,0.46,0.24,0.27,0,0,0.35,0
plato.csv,0.42,0.99,0.18,0.81,0.77,0.95,0.54,0.33,0.77,0.71,0.84,7
rodin-b-sharp.csv,0,0.25,0.47,0.12,0.11,0.74,0.81,0.17,0.85,0,0.19,3
tycho.csv,0.12,0.66,0.23,0.61,0.45,0.46,0.24,0.36,0.29,0.78,0.74,4
umber.csv,0.89,0.86,0.19,0.74,0.58,0.82,0.62,0.24,0.88,0.1,0.38,6
unicase.csv,0.62,0.89,0.18,0.75,0.55,0.93,0.53,0.31,0.86,0.63,0.85,7
vienna-add-in.csv,0.42,0.88,0.15,0.75,0.78,0.58,0.42,0.32,0.31,0.63,0.71,5
wpdev.csv,0.41,1,0.19,0.81,0.79,0.91,0.53,0.26,0.88,0.72,0.84,7
