,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.62,0.58,0.54,0.67,0.64,0.47,0.69,0.54,0.53,0.57
libtorrent.csv,0.48,0.38,0.38,0.56,0.38,0.37,0.46,0.53,0.4,0.33
mcmc-jags.csv,0.5,0.5,0.46,0.58,0.38,0.41,0.46,0.46,0.4,0.36
nebuladevice.csv,0.59,0.71,0.0,0.55,0.0,0.62,0.66,0.98,0.6,0.41
olap-navigator.csv,0.61,0.56,0.51,0.67,0.44,0.54,0.61,0.46,0.55,0.37
pidgin.csv,0.67,0.4,0.44,0.5,0.34,0.56,0.54,0.49,0.92,0.57
salasaga.csv,0.4,0.34,0.41,0.53,0.37,0.42,0.45,0.39,0.76,0.34
sepgsql.csv,0.63,0.43,0.54,0.8,0.4,0.56,0.51,0.55,0.75,0.41
xstore.csv,0.41,0.57,0.41,0.55,0.35,0.57,0.42,0.42,0.51,0.32
xtreemfs.csv,0.52,0.45,0.44,0.76,0.39,0.48,0.48,0.53,0.92,0.38
