,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.32,0.6,0.18,0.15,0.56,0.19,0.59,0.64,0.24,0.69,0.62,0.57,0.0,0.37,1.0
atlc.csv,0.46,0.96,0.12,0.46,0.62,0.22,0.66,0.67,0.36,0.73,0.65,0.67,0.33,0.36,0.4
bwapi.csv,0.26,0.73,0.15,0.36,0.65,0.24,0.65,0.78,0.3,0.99,0.67,0.72,0.42,0.36,0.39
cubefs.csv,0.38,0.7,0.14,0.24,0.52,0.14,0.64,0.99,0.24,0.27,0.58,0.59,0.52,0.31,0.44
freewrl.csv,0.3,0.7,0.0,0.35,0.48,0.23,0.61,0.45,0.17,0.48,0.45,0.96,0.26,0.35,0.19
iaml.csv,0.33,0.73,0.15,0.28,0.64,0.21,0.96,0.55,0.4,0.77,0.64,0.58,0.22,0.33,0.45
jrdf.csv,0.19,0.28,0.0,0.0,0.14,0.24,0.31,0.3,0.0,0.02,0.22,0.46,0.97,0.29,0.21
kwave.csv,0.94,0.72,0.0,0.31,0.21,0.23,0.32,0.32,0.16,0.17,0.26,0.35,0.51,0.34,0.17
oscarmcmaster.csv,0.11,0.51,0.2,0.0,0.05,0.06,0.23,0.61,0.0,0.31,0.08,0.33,0.11,0.96,0.62
rtrt-on-gpu.csv,0.14,0.71,0.25,0.31,0.56,0.17,0.53,0.44,0.95,0.52,0.55,0.4,0.37,0.27,0.44
theresa.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.16,0.0,0.0,0.08,0.21
thrust.csv,0.33,0.15,0.0,0.87,0.14,0.18,0.2,0.22,0.37,0.17,0.25,0.22,0.19,0.15,0.22
tktoolkit.csv,0.3,0.17,0.14,0.42,0.67,0.98,0.69,0.79,0.28,0.81,0.66,0.69,0.29,0.25,0.34
xstore.csv,0.35,0.51,0.21,0.23,0.33,0.21,0.42,0.65,0.33,0.36,0.97,0.55,0.17,0.36,0.62
yaprm.csv,0.0,0.39,0.25,0.48,0.97,0.24,0.51,0.31,0.33,0.73,0.47,0.32,0.4,0.33,0.55
