,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.69,0.73,0.54,0.9,0.91,0.75,0.58,0.66,0.91,0.72,0.59,0.59,1.0,0.58,0.0
atlc.csv,0.53,0.07,0.92,0.77,0.74,0.69,0.79,0.86,0.55,0.78,0.76,0.73,0.86,0.74,0.88
bwapi.csv,0.98,0.87,0.7,0.79,0.85,0.8,0.8,0.81,0.86,0.03,0.67,0.6,0.55,0.77,0.8
cubefs.csv,0.74,0.78,0.74,0.81,0.85,0.84,0.85,0.03,0.75,0.91,0.59,0.75,0.49,0.76,0.85
freewrl.csv,0.72,0.46,1.14,0.68,0.8,0.69,0.57,0.71,0.84,0.75,0.71,0.07,0.73,0.61,0.92
iaml.csv,0.69,0.42,0.54,0.78,0.65,0.82,0.06,0.73,0.5,0.67,0.52,0.73,0.83,0.73,0.56
jrdf.csv,0.88,0.86,1.05,1.0,0.92,0.72,0.84,0.82,1.01,0.99,0.87,0.72,0.07,0.7,0.95
kwave.csv,0.07,1.0,1.05,0.77,0.88,0.92,0.83,0.81,0.84,0.92,0.84,0.78,0.44,0.63,0.99
oscarmcmaster.csv,0.94,0.75,0.68,1.0,0.99,0.96,0.87,0.92,1.0,0.82,0.96,0.79,0.93,0.09,0.44
rtrt-on-gpu.csv,0.93,0.42,0.67,0.77,0.64,0.78,0.65,0.74,0.1,0.66,0.6,0.76,0.57,0.73,0.58
theresa.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.97,1.0,1.0,0.98,0.91,1.0,1.0,0.96,0.89
thrust.csv,0.67,0.97,1.01,0.18,0.92,0.76,0.92,0.87,0.7,0.91,0.86,0.89,0.87,0.88,0.83
tktoolkit.csv,0.98,0.91,0.76,1.0,0.92,0.04,0.89,1.0,0.94,0.87,0.91,1.0,0.8,0.84,0.7
xstore.csv,0.66,0.7,0.46,0.82,0.82,0.72,0.75,0.69,0.71,0.8,0.07,0.59,0.87,0.6,0.4
yaprm.csv,1.12,0.82,0.36,0.53,0.05,0.64,0.64,0.88,0.62,0.72,0.7,0.85,0.62,0.65,0.44
