,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.41,0.07,0.19,0.16,0.51,0.43,0.27,0.4,0.54,0.09,0.31,0.01,0.46,0.31,0.6,0.44,0.45,0.61,0.64,0.58
array4j.csv,0.53,0.0,0.0,0.16,0.03,0.31,0.42,0.47,0.11,0.1,0.44,0.45,0.08,0.16,0.0,0.08,0.12,0.11,0.46,0.32
bzbyte.csv,0.41,0.21,0.86,0.94,0.61,0.62,0.4,0.27,0.83,0.81,0.79,0.69,0.86,0.91,0.4,0.16,0.62,0.0,0.28,0.81
capcode.csv,0.18,0.0,0.32,0.0,0.0,0.14,0.44,0.1,0.39,0.16,0.1,0.33,0.38,0.27,0.8,0.2,0.09,0.06,0.25,0.26
fm-classic.csv,0.0,0.0,0.03,0.06,0.03,0.0,0.07,0.0,0.0,0.01,0.0,0.07,0.08,0.0,0.0,0.08,0.0,0.06,0.07,0.0
freenet.csv,0.29,0.14,0.21,0.42,0.51,0.01,0.73,0.79,0.76,0.56,0.71,0.64,0.7,0.75,0.8,0.0,0.7,0.44,0.88,0.55
hannosset.csv,0.12,0.0,0.13,0.29,0.06,0.0,0.07,0.03,0.0,0.1,0.06,0.11,0.03,0.06,0.0,0.04,0.01,0.0,0.07,0.19
haphazard.csv,0.06,0.0,0.1,0.03,0.11,0.35,0.21,0.35,0.22,0.0,0.0,0.04,0.22,0.1,0.0,0.12,0.07,0.22,0.15,0.03
intact.csv,0.18,0.79,0.41,0.26,0.61,0.49,0.0,0.21,0.09,0.19,0.56,0.51,0.08,0.27,0.0,1.0,0.26,0.72,0.7,0.39
ipfire-wall.csv,0.24,0.93,0.29,0.9,0.58,0.29,0.19,0.24,0.35,0.85,0.69,0.31,0.0,0.24,0.2,0.76,0.26,0.22,0.28,0.35
jlinalg.csv,0.76,0.0,0.98,0.84,0.85,0.61,0.84,0.81,0.63,0.53,0.75,0.68,0.76,0.88,1.0,0.76,0.77,0.44,0.99,0.77
nassp.csv,0.35,0.07,0.14,0.48,0.3,0.24,0.3,0.08,0.04,0.46,0.31,0.13,0.05,0.2,0.2,0.08,0.35,0.06,0.14,0.42
ondex.csv,0.18,0.21,0.16,0.13,0.32,0.27,0.29,0.61,0.02,0.28,0.21,0.29,0.41,0.08,0.0,0.76,0.33,0.61,0.0,0.06
optalgtoolkit.csv,0.41,0.0,0.41,0.03,0.44,0.63,0.49,0.74,0.63,0.43,0.29,0.37,0.59,0.62,0.2,0.4,0.64,0.56,0.52,0.35
pustefix.csv,0.0,0.93,0.56,0.42,0.55,0.43,0.21,0.0,0.11,0.4,0.54,0.43,0.05,0.1,0.0,0.8,0.09,0.78,0.29,0.29
soar.csv,0.88,0.79,0.71,0.9,0.48,0.69,0.64,0.66,0.7,0.75,0.42,0.6,0.89,0.88,0.6,0.0,0.81,0.61,0.72,0.77
sqlpower-library.csv,0.06,0.14,0.63,0.13,0.54,0.68,0.56,0.56,0.96,0.66,0.63,0.65,0.97,0.83,0.8,0.28,0.83,0.67,0.65,0.32
super-tux.csv,0.76,0.07,1.0,1.0,0.82,0.8,0.81,1.0,1.0,1.0,0.87,0.68,1.0,1.0,0.2,0.12,1.0,0.56,1.0,0.81
tart.csv,0.06,0.14,0.13,0.0,0.1,0.08,0.04,0.03,0.0,0.07,0.04,0.0,0.03,0.0,0.0,0.2,0.09,0.33,0.06,0.0
web-cat.csv,0.24,0.79,0.37,0.03,0.25,0.43,0.26,0.48,0.33,0.18,0.19,0.18,0.46,0.43,0.2,1.0,0.33,0.44,0.36,0.0
