,pf
qgis.csv,0.11
migen.csv,0.26
jsecurity.csv,0.16
jnode.csv,0.49
jhotdraw.csv,0.37
sidekar.csv,0.0
emeraldemu.csv,0.13
emisview.csv,0.15
autoopencas.csv,0.51
mcmc-jags.csv,0.05
cataclysmos.csv,0.21
fontforge.csv,0.16
badtrinity-zero.csv,0.09
cleartk.csv,0.07
delphilhlplib.csv,0.06
mcore3d.csv,0.12
applet2app.csv,0.32
upp-mirror.csv,0.07
magicwars.csv,0.09
xbplayer.csv,0.2
zildo.csv,0.11
jython.csv,0.01
ildjit.csv,0.41
gbif-providertoolkit.csv,0.07
jfreereport.csv,0.59
opennms.csv,0.14
yield.csv,0.01
trackit.csv,0.09
scen-connect.csv,0.03
freelords.csv,0.32
piccolo2d.csv,0.59
bochs.csv,0.21
intact.csv,0.08
htmlunit.csv,0.47
open-beos.csv,0.25
libopenmetaverse.csv,0.26
popeye-chess.csv,0.18
jbpm.csv,0.26
cities3d.csv,0.28
springside.csv,0.07
k3d.csv,0.22
kvs.csv,0.26
firebreath.csv,0.2
fltk.csv,0.24
bullet.csv,0.24
mobicents.csv,0.15
maya-work-in-progress.csv,0.06
betoffice.csv,0.13
scite-ru.csv,0.04
ifmo-game-1.csv,0.34
qcad2.csv,0.11
xmemcached.csv,0.05
ldview.csv,0.05
rohxel.csv,0.0
jpaul.csv,0.12
pfaedit.csv,0.11
gbif-indexingtoolkit.csv,0.28
levent.csv,0.3
neodatis-odb.csv,0.3
pidgin.csv,0.5
swtfox.csv,0.58
aime.csv,0.29
mvdsv.csv,0.49
japano.csv,0.78
jitterbit.csv,0.04
encog-cs.csv,0.69
red5.csv,0.0
co-ode-owl-plugins.csv,0.32
exordium.csv,0.23
cornerstone.csv,0.53
