,d2h
qgis.csv,0.7
migen.csv,0.61
jsecurity.csv,0.71
jnode.csv,0.58
jhotdraw.csv,0.68
sidekar.csv,0.91
emeraldemu.csv,0.45
emisview.csv,0.8
autoopencas.csv,0.82
mcmc-jags.csv,0.87
cataclysmos.csv,0.21
fontforge.csv,0.89
badtrinity-zero.csv,0.71
cleartk.csv,0.84
delphilhlplib.csv,0.81
mcore3d.csv,0.74
applet2app.csv,0.59
upp-mirror.csv,0.91
magicwars.csv,0.78
xbplayer.csv,0.6
zildo.csv,0.67
jython.csv,0.55
ildjit.csv,0.8
gbif-providertoolkit.csv,0.86
jfreereport.csv,0.64
opennms.csv,0.83
yield.csv,0.9
trackit.csv,0.96
scen-connect.csv,1.0
freelords.csv,0.58
piccolo2d.csv,0.59
bochs.csv,0.62
intact.csv,0.87
htmlunit.csv,0.53
open-beos.csv,0.55
libopenmetaverse.csv,0.71
popeye-chess.csv,0.47
jbpm.csv,0.78
cities3d.csv,0.52
springside.csv,0.82
k3d.csv,0.77
kvs.csv,0.79
firebreath.csv,0.57
fltk.csv,0.67
bullet.csv,0.66
mobicents.csv,0.65
maya-work-in-progress.csv,0.72
betoffice.csv,0.85
scite-ru.csv,0.81
ifmo-game-1.csv,0.55
qcad2.csv,0.59
xmemcached.csv,0.7
ldview.csv,0.76
rohxel.csv,1.0
jpaul.csv,0.43
pfaedit.csv,0.62
gbif-indexingtoolkit.csv,0.78
levent.csv,0.53
neodatis-odb.csv,0.76
pidgin.csv,0.53
swtfox.csv,0.72
aime.csv,0.58
mvdsv.csv,0.59
japano.csv,0.92
jitterbit.csv,0.69
encog-cs.csv,0.71
red5.csv,0.84
co-ode-owl-plugins.csv,0.89
exordium.csv,0.48
cornerstone.csv,0.68
