,g-score
qgis.csv,0.36
migen.csv,0.48
jsecurity.csv,0.35
jnode.csv,0.64
jhotdraw.csv,0.47
sidekar.csv,0.11
emeraldemu.csv,0.6
emisview.csv,0.26
autoopencas.csv,0.38
mcmc-jags.csv,0.16
cataclysmos.csv,0.95
fontforge.csv,0.14
badtrinity-zero.csv,0.34
cleartk.csv,0.2
delphilhlplib.csv,0.23
mcore3d.csv,0.31
applet2app.csv,0.54
upp-mirror.csv,0.11
magicwars.csv,0.26
xbplayer.csv,0.47
zildo.csv,0.39
jython.csv,0.51
ildjit.csv,0.34
gbif-providertoolkit.csv,0.17
jfreereport.csv,0.65
opennms.csv,0.21
yield.csv,0.12
trackit.csv,0.06
scen-connect.csv,0.0
freelords.csv,0.55
piccolo2d.csv,0.74
bochs.csv,0.46
intact.csv,0.16
htmlunit.csv,0.7
open-beos.csv,0.54
libopenmetaverse.csv,0.37
popeye-chess.csv,0.61
jbpm.csv,0.31
cities3d.csv,0.59
springside.csv,0.21
k3d.csv,0.31
kvs.csv,0.29
firebreath.csv,0.51
fltk.csv,0.41
bullet.csv,0.43
mobicents.csv,0.42
maya-work-in-progress.csv,0.33
betoffice.csv,0.19
scite-ru.csv,0.23
ifmo-game-1.csv,0.59
qcad2.csv,0.47
xmemcached.csv,0.35
ldview.csv,0.28
rohxel.csv,0.0
jpaul.csv,0.63
pfaedit.csv,0.44
gbif-indexingtoolkit.csv,0.31
levent.csv,0.59
neodatis-odb.csv,0.34
pidgin.csv,0.73
swtfox.csv,0.53
aime.csv,0.53
mvdsv.csv,0.63
japano.csv,0.4
jitterbit.csv,0.36
encog-cs.csv,0.62
red5.csv,0.19
co-ode-owl-plugins.csv,0.2
exordium.csv,0.61
cornerstone.csv,0.55
