,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.72,0.27,0.65,0.93
freelords.csv,0.61,0.25,0.68,0.77
jfreereport.csv,0.13,0.31,0.42,0.62
super-tux.csv,0.59,0.27,0.47,0.95
