,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.2,0.95,0.18,0.59,0.41,0.44,0.46,0.26,0.77,0.65,0.5,0.85
gwanted.csv,0.47,0.52,0.25,0.33,0.15,0.72,0.28,0.49,0.18,0.0,0.67,0.03
ivatamasks.csv,0.43,0.73,0.17,0.77,0.7,0.58,0.34,0.35,0.33,0.66,0.77,0.63
java-gnome.csv,0.67,0.48,0.17,0.26,0.41,0.25,0.25,0.2,0.88,0.4,0.5,0.53
orc.csv,0.08,0.55,0.41,0.49,0.21,0.53,0.26,0.25,0.18,0.0,0.25,0.29
plato.csv,0.42,0.99,0.15,0.77,0.76,0.9,0.51,0.29,0.26,0.71,0.84,0.79
rodin-b-sharp.csv,0.67,0.54,0.44,0.39,0.21,0.54,0.79,0.21,0.87,0.0,0.54,0.38
tycho.csv,0.09,0.68,0.23,0.66,0.49,0.49,0.29,0.34,0.55,0.78,0.73,0.36
umber.csv,0.81,0.86,0.2,0.84,0.5,0.9,0.56,0.29,0.88,0.27,0.69,0.79
unicase.csv,0.67,0.95,0.19,0.77,0.53,0.91,0.57,0.38,0.85,0.49,0.8,0.71
vienna-add-in.csv,0.41,0.72,0.13,0.62,0.75,0.65,0.36,0.26,0.28,0.64,0.43,0.38
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.53,0.25,0.86,0.72,0.84,0.71
