,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.39,0.53,0.47,0.4,0.54,0.43,0.61,0.55,0.37,0.37,0.38,0.47,0.51,0.44,0.42,0.46,0.58,0.33
brlcad.csv,0.89,0.83,0.75,0.64,0.83,0.5,0.56,0.75,0.74,0.59,0.7,0.64,0.6,0.61,0.5,0.57,0.83,0.58
genoviz.csv,0.77,0.99,0.92,0.0,0.77,0.97,0.5,0.91,0.79,0.56,0.61,0.95,0.92,0.9,0.83,0.5,0.74,0.8
gnupdate.csv,0.33,0.66,0.92,0.52,0.94,0.63,0.67,0.5,0.51,0.58,0.85,0.69,0.6,0.6,0.46,0.53,0.79,0.5
google-gears.csv,0.32,0.49,0.47,0.41,0.5,0.43,0.38,0.41,0.41,0.35,0.35,0.54,0.39,0.5,0.36,0.4,0.73,0.38
konversation.csv,0.64,0.97,0.95,0.9,0.97,0.83,0.95,0.67,0.92,0.66,0.77,0.79,0.94,0.81,0.92,0.79,0.89,0.91
linux-ntfs.csv,0.6,0.69,0.94,0.88,0.95,0.85,0.73,0.83,0.55,0.58,0.6,0.89,0.96,0.81,0.58,0.91,0.8,0.39
linuxsh.csv,0.94,1.0,0.9,0.83,0.72,0.69,0.66,0.75,0.74,0.73,0.87,0.68,0.67,0.82,0.7,0.58,0.82,0.92
modplug.csv,0.32,0.42,0.38,0.43,0.42,0.57,0.38,0.37,0.41,0.39,0.43,0.49,0.41,0.49,0.4,0.36,0.46,0.36
nativeclient.csv,0.52,0.43,0.51,0.55,0.62,0.92,0.64,0.5,0.51,0.41,0.44,0.58,0.74,0.58,0.39,0.6,0.55,0.33
ogre.csv,0.34,0.45,0.44,0.44,0.46,0.43,0.4,0.42,0.42,0.4,0.41,0.43,0.4,0.47,0.41,0.39,0.5,0.33
openfrag.csv,0.33,0.41,0.42,0.46,0.45,0.63,0.42,0.43,0.4,0.39,0.44,0.52,0.41,0.49,0.38,0.41,0.51,0.34
projecteqemu.csv,0.37,0.57,0.83,0.92,0.94,0.96,0.73,0.52,0.54,0.59,0.61,0.73,0.89,0.8,0.5,0.88,0.97,0.37
qse.csv,0.36,0.48,0.51,0.51,0.62,0.84,0.65,0.51,0.45,0.49,0.58,0.66,0.78,0.66,0.42,0.59,0.88,0.38
sandiaportals.csv,0.32,0.43,0.64,0.48,0.64,0.57,0.42,0.41,0.4,0.4,0.39,0.51,0.43,0.48,0.41,0.41,0.54,0.31
sauerbraten.csv,0.39,0.55,0.46,0.92,0.5,0.92,0.4,0.61,0.61,0.9,0.93,0.88,0.92,0.77,0.38,0.42,0.97,0.53
turbotrader-bos.csv,0.33,0.75,0.88,0.68,0.92,0.82,0.74,0.57,0.61,0.61,0.57,0.93,0.64,0.94,0.52,0.8,0.9,0.67
xapian.csv,0.38,0.65,0.6,0.52,0.62,0.61,0.65,0.5,0.43,0.43,0.55,0.62,0.83,0.58,0.52,0.52,0.83,0.47
