,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.66,0.24,0.15,0.21,0.28,0.97,1.0,0.76,0.51,0.55,0.78,0.61,0.31,0.86,0.62,0.89,0.67,0.12
brlcad.csv,0.39,0.87,0.38,0.11,0.33,0.99,0.22,0.6,0.42,0.52,0.54,0.51,0.23,0.73,0.54,0.7,0.59,0.11
genoviz.csv,0.92,0.22,0.08,0.0,0.06,0.94,0.5,0.73,0.74,0.56,0.94,0.42,0.5,0.8,0.67,0.0,0.52,1.0
gnupdate.csv,0.67,0.34,0.08,0.14,1.0,1.0,0.5,0.55,0.42,0.48,0.58,0.72,0.25,0.93,0.61,0.81,0.67,0.2
google-gears.csv,0.68,0.34,0.13,0.15,0.22,0.97,0.36,0.5,0.49,0.51,0.67,0.59,0.22,1.0,0.49,0.82,0.69,0.15
konversation.csv,0.68,0.21,0.16,1.0,0.24,0.98,0.25,0.43,0.42,0.34,0.71,0.55,0.26,0.89,0.46,0.83,0.6,0.18
linux-ntfs.csv,0.75,0.2,0.12,0.06,0.42,0.94,0.23,0.57,0.48,0.53,0.67,0.54,0.41,0.75,0.96,0.73,0.53,0.15
linuxsh.csv,0.69,0.41,1.0,0.04,0.1,1.0,0.2,0.29,0.31,0.33,0.47,0.41,0.2,0.75,0.5,0.6,0.43,0.0
modplug.csv,0.63,0.26,0.21,0.13,0.26,0.97,0.4,0.56,0.38,0.53,1.0,0.68,0.29,0.85,0.45,0.91,0.74,0.12
nativeclient.csv,0.74,0.26,0.14,0.25,0.26,0.94,0.4,0.67,0.4,0.57,0.88,0.58,0.44,0.8,0.58,0.85,0.99,0.14
ogre.csv,0.63,0.25,0.17,0.13,0.19,1.0,0.28,0.44,0.34,0.45,0.7,0.55,0.22,0.77,0.48,0.75,0.58,0.11
openfrag.csv,0.64,0.25,0.21,0.15,0.17,0.96,0.3,0.48,0.4,0.54,0.7,0.96,0.23,0.79,0.46,0.84,0.59,0.09
projecteqemu.csv,0.71,0.25,0.17,0.17,0.44,0.91,0.6,0.67,0.58,1.0,1.0,0.91,0.67,0.83,0.55,1.0,0.74,0.15
qse.csv,0.68,0.31,0.23,0.22,0.43,0.96,0.5,1.0,0.51,0.55,0.84,0.73,0.33,0.96,0.52,0.93,0.78,0.17
sandiaportals.csv,0.63,0.25,0.25,0.15,0.36,0.96,0.36,0.49,0.39,0.49,0.71,0.77,0.3,0.81,0.48,1.0,0.68,0.1
sauerbraten.csv,1.0,0.22,0.16,0.46,0.17,0.96,0.32,0.79,0.68,0.43,0.71,0.92,0.5,0.81,0.49,0.75,0.72,0.11
turbotrader-bos.csv,0.81,0.06,0.62,0.37,0.67,0.97,0.43,0.69,0.99,0.74,0.82,1.0,0.23,1.0,0.61,0.8,0.7,0.28
xapian.csv,0.68,0.16,0.16,0.26,0.38,0.97,0.6,0.61,0.49,0.52,0.9,0.59,1.0,0.92,0.6,0.76,0.79,0.21
