,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.65,0.74,0.77,0.45,0.52,1.11,0.05,0.4,0.44,0.55,0.58,0.65,0.62,0.56,0.52,0.55,0.62,0.67
brlcad.csv,0.94,0.24,0.49,0.8,0.71,0.54,0.84,0.68,0.66,0.59,0.95,0.77,0.7,0.8,0.62,0.83,0.8,0.71
genoviz.csv,0.69,0.92,0.93,1.0,0.96,1.0,0.95,0.77,0.65,0.58,0.69,0.9,0.77,0.93,0.85,1.01,0.8,0.0
gnupdate.csv,0.72,0.57,0.93,0.66,0.1,0.42,0.44,0.53,0.57,0.67,0.86,0.7,0.67,0.55,0.51,0.61,0.74,0.41
google-gears.csv,0.71,0.55,0.81,0.76,0.63,1.09,0.59,0.6,0.47,0.64,0.83,0.66,0.78,0.0,0.74,0.54,0.78,0.53
konversation.csv,0.68,0.8,0.78,0.17,0.65,0.73,0.8,0.72,0.69,0.87,0.71,0.72,0.74,0.73,0.81,0.66,0.7,0.63
linux-ntfs.csv,0.65,0.81,0.86,0.9,0.61,1.23,0.79,0.66,0.55,0.6,0.76,0.77,0.6,0.76,0.05,0.87,0.79,0.62
linuxsh.csv,0.75,0.74,0.09,0.98,0.9,0.41,0.85,0.88,0.74,0.85,1.0,0.94,0.77,0.72,0.71,1.07,0.91,1.03
modplug.csv,0.92,0.8,0.7,0.79,0.55,1.11,0.55,0.56,0.7,0.64,0.02,0.52,0.6,0.5,0.92,0.33,0.49,0.82
nativeclient.csv,0.57,0.69,0.8,0.37,0.58,0.98,0.56,0.36,0.62,0.52,0.52,0.67,0.56,0.71,0.54,0.7,0.02,0.69
ogre.csv,0.96,1.0,1.0,0.92,1.0,0.0,1.0,0.96,0.95,0.96,0.92,1.0,1.0,0.95,0.97,1.0,0.98,0.89
openfrag.csv,0.84,0.84,0.7,0.65,0.9,1.15,0.86,0.73,0.66,0.63,0.73,0.06,0.75,0.65,0.94,0.48,0.87,0.91
projecteqemu.csv,0.55,0.76,0.91,0.84,0.66,1.03,0.54,0.44,0.52,0.06,0.67,0.7,0.77,0.8,0.64,0.85,0.83,0.55
qse.csv,0.71,0.68,0.56,0.42,0.32,0.91,0.41,0.0,0.44,0.54,0.57,0.58,0.6,0.59,0.65,0.54,0.74,0.53
sandiaportals.csv,0.96,0.91,0.53,0.78,0.42,1.13,0.66,0.75,0.72,0.78,0.78,0.35,0.59,0.6,0.84,0.04,0.56,0.98
sauerbraten.csv,0.08,0.83,0.93,0.51,0.91,0.93,0.84,0.39,0.54,0.8,0.83,0.65,0.77,0.8,0.84,0.89,0.83,0.71
turbotrader-bos.csv,0.39,1.01,0.55,0.44,0.6,0.85,0.54,0.33,0.06,0.54,0.62,0.77,0.74,0.86,0.56,0.73,0.7,0.29
xapian.csv,0.62,0.88,0.74,0.42,0.4,0.84,0.4,0.47,0.47,0.59,0.54,0.72,0.08,0.6,0.55,0.69,0.78,0.39
