,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.54,0.42,0.62,0.38,0.48,1.0,0.0,0.15,0.39,0.49,0.38,0.36,0.31,0.27,0.34,0.17,0.34,0.64
brlcad.csv,0.46,0.04,0.18,0.28,0.14,0.5,0.65,0.17,0.28,0.47,0.71,0.42,0.52,0.7,0.45,0.72,0.24,0.38
genoviz.csv,0.04,0.1,0.22,0.01,0.34,0.5,0.02,0.06,0.06,0.33,0.04,0.21,0.07,0.05,0.07,0.11,0.56,0.0
gnupdate.csv,0.71,0.37,0.2,0.61,0.0,0.0,0.24,0.4,0.49,0.38,0.46,0.15,0.44,0.11,0.38,0.33,0.21,0.36
google-gears.csv,0.71,0.5,0.6,0.76,0.52,1.0,0.55,0.47,0.37,0.6,0.75,0.47,0.7,0.0,0.69,0.44,0.15,0.49
konversation.csv,0.29,0.32,0.29,0.0,0.34,0.5,0.31,0.6,0.24,0.64,0.38,0.45,0.26,0.11,0.24,0.22,0.45,0.2
linux-ntfs.csv,0.21,0.45,0.27,0.33,0.13,1.0,0.47,0.21,0.3,0.4,0.58,0.3,0.18,0.32,0.03,0.17,0.44,0.62
linuxsh.csv,0.21,0.13,0.0,0.51,0.3,0.0,0.57,0.36,0.48,0.49,0.67,0.74,0.55,0.43,0.34,0.94,0.57,0.27
modplug.csv,0.92,0.79,0.69,0.79,0.43,1.0,0.55,0.55,0.67,0.62,0.0,0.49,0.45,0.38,0.9,0.22,0.32,0.82
nativeclient.csv,0.29,0.54,0.58,0.33,0.36,0.5,0.31,0.3,0.37,0.42,0.17,0.49,0.17,0.27,0.45,0.17,0.01,0.69
ogre.csv,0.96,1.0,1.0,0.92,1.0,0.0,1.0,0.96,0.95,0.96,0.92,1.0,1.0,0.95,0.97,1.0,0.98,0.89
openfrag.csv,0.83,0.81,0.69,0.63,0.86,1.0,0.86,0.72,0.65,0.62,0.67,0.06,0.68,0.57,0.93,0.44,0.86,0.89
projecteqemu.csv,0.46,0.29,0.09,0.11,0.1,0.5,0.12,0.23,0.19,0.0,0.0,0.04,0.03,0.14,0.34,0.0,0.09,0.51
qse.csv,0.71,0.67,0.49,0.39,0.24,0.5,0.27,0.0,0.39,0.47,0.21,0.21,0.27,0.05,0.55,0.11,0.11,0.53
sandiaportals.csv,0.96,0.91,0.38,0.78,0.29,1.0,0.65,0.74,0.71,0.78,0.75,0.32,0.56,0.54,0.83,0.0,0.45,0.98
sauerbraten.csv,0.0,0.75,0.93,0.08,0.87,0.5,0.84,0.13,0.11,0.27,0.17,0.04,0.07,0.16,0.83,0.89,0.1,0.38
turbotrader-bos.csv,0.29,0.42,0.05,0.13,0.05,0.5,0.27,0.28,0.0,0.13,0.21,0.0,0.34,0.0,0.31,0.22,0.21,0.29
xapian.csv,0.54,0.27,0.38,0.26,0.27,0.5,0.16,0.32,0.35,0.44,0.12,0.3,0.0,0.11,0.34,0.44,0.09,0.33
