,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.64,0.01,0.68,0.11,0.02,0.5,0.26,0.67,0.69,0.3,0.63,0.56,0.55
flylinkdc.csv,0.71,0.48,0.34,0.44,0.48,0.58,0.71,0.25,0.58,0.63,0.5,0.42,0.61
fw4spl.csv,0.57,0.33,0.39,0.65,0.61,0.44,0.64,0.57,0.61,0.47,0.16,0.53,0.54
grisbi.csv,0.47,0.0,0.48,0.46,0.13,0.62,0.88,0.52,0.56,0.58,0.36,0.69,0.6
mesa3d.csv,0.26,0.18,0.42,0.27,0.59,0.67,0.38,0.47,0.72,0.47,0.53,0.54,0.55
nuttx.csv,0.63,0.66,0.37,0.53,0.42,0.71,0.28,0.72,0.71,0.52,0.41,0.23,0.56
panda3d.csv,0.19,0.0,0.54,0.54,0.52,0.52,0.61,0.77,0.58,0.51,0.48,0.48,0.49
proftp.csv,0.17,0.01,0.2,0.58,0.12,0.78,0.41,0.0,0.24,0.39,0.04,0.0,0.47
qmmp.csv,0.63,0.54,0.56,0.43,0.38,0.55,0.71,0.28,0.52,0.41,0.68,0.49,0.43
skia.csv,0.53,0.26,0.51,0.55,0.53,0.74,0.76,0.13,0.43,0.45,0.61,0.47,0.64
tart.csv,0.54,0.09,0.39,0.62,0.58,0.49,0.81,0.21,0.8,0.33,0.56,0.04,0.55
tcvp.csv,0.04,0.01,0.02,0.04,0.07,0.0,0.02,0.78,0.0,0.0,0.0,0.0,0.05
utgb.csv,0.28,0.28,0.3,0.69,0.65,0.41,0.25,0.58,0.62,0.4,0.26,0.42,0.51
