,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.46,0.38,0.43,0.14,0.16,0.18,0.48,0.55,0.22,0.56,0.41,0.56
aubit4gl.csv,0.12,0.33,0.24,0.12,0.69,0.06,0.19,0.03,0.5,0.22,0.53,0.27
liferea.csv,0.43,0.13,0.32,0.53,0.26,0.27,0.38,0.67,0.24,0.14,0.28,0.45
moving-pictures.csv,0.44,0.23,0.33,0.33,0.57,0.24,0.61,0.18,0.36,0.4,0.38,0.59
olex2.csv,0.48,0.12,0.33,0.53,0.65,0.28,0.44,0.71,0.19,0.32,0.31,0.68
opensim4opencog.csv,0.49,0.08,0.37,0.49,0.58,0.31,0.56,0.67,0.44,0.31,0.31,0.64
plearn.csv,0.56,0.29,0.34,0.38,0.21,0.17,0.5,0.33,0.38,0.31,0.42,0.61
psrchive.csv,0.49,0.5,0.59,0.31,0.69,0.2,0.47,0.72,0.53,0.31,0.35,0.57
re2c.csv,0.36,0.92,0.23,0.31,0.48,0.13,0.58,0.49,0.52,0.16,0.0,0.52
rebecca-aiml.csv,0.43,0.23,0.32,0.38,0.66,0.23,0.64,0.67,0.76,0.41,0.23,0.62
wxcode.csv,0.41,0.19,0.3,0.41,0.55,0.31,0.39,0.46,0.2,0.39,0.52,0.43
xfce.csv,0.49,0.13,0.27,0.46,0.62,0.24,0.56,0.72,0.48,0.29,0.16,0.63
