,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,99.0,97.5,161.0,27.5,89.5,409.5,172.0,287.5,197.5,610.0,97.5,98.5
aubit4gl.csv,170.0,84.5,228.5,191.5,96.5,436.0,93.5,80.5,197.5,36.5,95.5,97.5
liferea.csv,99.0,97.5,372.5,314.0,95.5,273.5,258.5,488.0,98.5,1986.0,97.5,98.5
moving-pictures.csv,99.0,97.5,688.0,182.0,97.5,408.0,519.0,288.0,78.5,1396.0,97.5,98.5
olex2.csv,99.0,97.5,448.0,188.0,96.5,1190.5,409.5,586.5,98.5,2302.0,97.5,98.5
opensim4opencog.csv,99.0,94.5,188.5,188.0,97.5,453.0,449.5,488.0,98.5,2061.0,97.5,98.5
plearn.csv,99.0,97.5,170.0,89.5,74.5,1702.5,449.5,94.5,98.5,685.5,97.5,98.5
psrchive.csv,99.0,97.5,187.0,571.0,96.5,2442.5,241.5,684.0,197.5,1112.5,97.5,98.5
re2c.csv,378.0,97.5,275.5,182.0,96.5,883.0,284.5,95.5,98.5,2738.0,1834.0,98.5
rebecca-aiml.csv,99.0,97.5,467.5,376.0,97.5,844.0,383.0,488.0,278.0,2488.0,97.5,98.5
wxcode.csv,99.0,97.5,526.0,414.5,96.5,84.5,229.5,387.0,197.5,1903.0,97.5,98.5
xfce.csv,99.0,97.5,284.0,283.5,97.5,882.0,288.5,682.0,98.5,4056.0,97.5,98.5
