,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.0,0.48,0.59,0.4,0.0,0.39,0.94,0.35,0.85,0.43
geotools.csv,0.0,0.48,0.39,0.37,0.97,0.33,0.95,0.35,0.58,0.35
gephex.csv,0.94,0.48,0.44,0.36,0.7,0.38,0.43,0.43,0.42,0.34
haggle.csv,0.44,0.51,0.65,0.5,0.45,0.86,0.39,0.86,0.4,0.57
java-gnome.csv,0.0,0.65,0.92,0.4,0.0,0.35,0.0,0.38,0.0,0.42
jgnash.csv,0.0,0.65,0.93,0.68,0.0,0.38,0.0,0.37,0.0,0.47
jrdf.csv,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0
mpqc.csv,0.0,0.98,0.93,0.93,0.88,0.8,0.75,0.96,0.97,0.86
panda3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tencompetence.csv,0.97,0.76,0.5,0.43,0.62,0.34,0.54,0.55,0.61,0.53
