,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,1.0,0.81,0.49,0.85,1.0,0.71,0.91,0.96,0.91,0.23
geotools.csv,1.0,0.98,0.58,0.77,0.79,0.66,0.72,1.0,0.83,0.91
gephex.csv,0.86,0.98,0.53,0.88,0.7,0.5,0.57,0.48,0.76,0.78
haggle.csv,1.0,0.6,0.58,1.01,1.0,0.87,0.93,0.85,0.92,0.58
java-gnome.csv,1.0,0.81,0.84,0.44,1.0,0.92,1.0,0.7,1.0,0.64
jgnash.csv,1.0,0.9,0.64,0.67,1.0,0.76,1.0,0.91,1.0,0.64
jrdf.csv,1.0,1.0,1.0,1.0,1.0,0.34,1.0,1.0,1.0,1.0
mpqc.csv,1.0,0.79,1.0,0.84,0.94,1.0,1.0,0.77,0.87,0.94
panda3d.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tencompetence.csv,0.65,0.82,0.82,0.64,0.73,1.0,0.91,0.69,0.31,0.91
