,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv
alembik.csv,0.54,0.48,0.0,0.36,0.55,0.81,0.9,0.36,0.83
arsenal-1.csv,0.39,0.83,0.54,0.5,0.9,0.86,0.8,0.8,0.85
barracudamvc.csv,0.43,0.3,0.38,0.33,0.39,0.38,0.33,0.35,0.55
irplus.csv,0.3,0.32,0.64,0.6,0.39,0.46,0.42,0.6,0.37
lite.csv,0.45,0.44,0.4,0.67,0.62,0.41,0.5,0.55,0.57
mevenide.csv,0.37,0.44,0.47,0.75,0.89,0.78,0.8,0.5,0.68
mumble.csv,0.38,0.3,0.45,0.86,0.44,0.39,0.41,0.52,0.68
ontopia.csv,0.94,0.35,0.6,0.42,0.39,0.48,0.62,0.33,0.8
openintents.csv,0.61,0.55,0.36,0.31,0.66,0.52,0.39,0.34,0.57
