,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.57,0.67,0.75,0.46,0.69,0.14,0.11,0.25,0.52,0.59,0.22,0.73,0.52,0.45,0.45,0.94,0.03,0.3,0.4,0.67
arcallians.csv,0.57,0.55,0.75,0.48,0.76,0.07,0.11,0.33,0.46,0.45,0.45,0.61,0.45,0.45,0.52,0.83,0.03,0.44,0.37,0.62
arianne.csv,0.72,0.49,0.69,0.29,0.52,0.11,0.09,0.25,0.47,0.36,0.19,0.63,0.42,0.39,0.45,0.81,0.03,0.33,0.28,0.5
aztec.csv,0.51,0.53,0.9,0.69,0.65,0.25,0.12,0.35,0.5,0.42,0.34,0.72,0.62,0.52,0.45,0.78,0.05,0.49,0.4,0.79
biopax.csv,0.56,0.56,0.7,0.39,0.7,0.05,0.11,0.25,0.44,0.4,0.33,0.69,0.41,0.43,0.45,1.0,0.03,0.32,0.31,0.63
bl-toolkit.csv,0.5,0.42,0.86,0.2,0.52,0.07,0.14,0.25,0.46,0.36,0.19,0.63,0.44,0.32,0.45,0.69,0.04,0.36,0.25,0.48
clamav.csv,0.53,0.59,0.81,0.25,0.52,0.05,0.13,0.28,0.57,0.67,0.23,0.68,0.5,0.42,0.49,0.81,0.03,0.39,0.2,0.49
crux-framework.csv,0.57,0.4,0.83,0.2,0.5,0.06,0.67,0.47,0.5,0.43,0.17,0.68,0.51,0.42,0.45,0.6,0.23,0.47,0.19,0.67
gnupdate.csv,0.54,0.46,0.86,0.3,0.52,0.07,0.08,0.5,0.46,0.28,0.52,0.67,0.45,0.4,0.51,0.8,0.04,0.4,0.27,0.45
jmule.csv,0.59,0.53,0.83,0.58,0.64,0.22,0.1,0.25,0.46,0.52,0.32,0.7,0.51,0.48,0.45,0.92,0.03,0.35,0.48,0.83
mbse.csv,0.45,0.43,0.88,0.08,0.46,0.04,0.18,0.44,0.48,0.35,0.17,0.68,0.48,0.39,0.47,0.71,0.05,0.41,0.27,0.44
mplayer-ce.csv,0.58,0.54,0.77,0.29,0.52,0.05,0.1,0.37,0.44,0.62,0.25,0.68,0.43,0.4,0.57,0.83,0.03,0.3,0.26,0.51
ng4j.csv,0.61,0.62,0.81,0.62,0.69,0.32,0.09,0.39,0.47,0.6,0.5,0.68,0.51,0.5,0.49,1.0,0.04,0.45,0.45,0.5
ns-3-dev-def-routing.csv,0.6,0.56,0.8,0.54,0.61,0.12,0.08,0.25,0.49,0.43,0.2,0.62,0.46,0.54,0.45,0.96,0.03,0.34,0.27,0.6
openxava.csv,0.54,0.57,0.75,0.05,0.6,0.04,0.21,0.33,0.53,0.47,0.17,0.67,0.55,0.52,0.46,0.75,0.05,0.5,0.28,0.5
phonon-vlc-mplayer.csv,0.73,0.63,0.87,0.62,0.81,0.23,0.09,0.37,0.64,0.58,0.38,0.68,0.54,0.5,0.5,1.0,0.05,0.48,0.48,1.0
qgis.csv,0.51,0.71,0.53,0.39,0.73,0.08,0.11,0.0,0.49,0.6,0.0,0.0,0.39,0.47,0.33,0.94,0.03,0.31,0.36,0.0
vars-redux.csv,0.61,0.71,0.8,0.55,0.68,0.09,0.12,0.25,0.63,0.5,0.17,0.7,0.54,0.48,0.46,0.98,0.02,0.36,0.55,0.82
xamj.csv,0.53,0.43,0.71,0.18,0.54,0.07,0.13,0.25,0.45,0.38,0.13,0.62,0.55,0.37,0.49,0.78,0.03,0.56,0.22,0.45
yafdotnet.csv,0.55,0.57,0.91,0.27,0.54,0.06,0.15,0.51,0.43,0.5,0.5,0.72,0.65,0.42,0.5,0.77,0.04,0.53,0.34,0.48
