,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,99.0,97.5,258.5,67.5,89.5,412.5,172.0,290.5,197.5,443.0,97.5,98.5
aubit4gl.csv,77.5,178.0,89.5,536.5,96.5,2706.5,188.0,96.5,197.5,354.5,95.5,97.5
liferea.csv,390.0,830.5,372.5,290.0,95.5,464.5,135.0,294.0,80.5,1404.0,97.5,98.5
moving-pictures.csv,99.0,94.5,545.0,182.0,97.5,383.5,455.5,190.5,78.5,1095.5,97.5,98.5
olex2.csv,99.0,97.5,377.5,315.0,96.5,1265.5,201.5,587.5,98.5,492.5,95.5,98.5
opensim4opencog.csv,99.0,97.5,377.5,188.0,97.5,275.0,353.0,486.0,197.5,2491.5,97.5,98.5
plearn.csv,99.0,97.5,188.5,382.5,96.5,391.5,449.5,488.0,98.5,3427.5,97.5,98.5
psrchive.csv,99.0,97.5,89.5,571.0,96.5,2442.5,263.5,684.0,197.5,1834.5,97.5,98.5
re2c.csv,479.5,97.5,275.5,280.5,96.5,980.5,284.5,95.5,494.0,2864.0,1964.0,98.5
rebecca-aiml.csv,99.0,97.5,566.5,376.0,196.5,882.0,383.0,584.5,183.5,3788.0,97.5,98.5
wxcode.csv,99.0,97.5,526.0,512.0,195.5,84.5,229.5,289.5,197.5,1846.5,97.5,98.5
xfce.csv,99.0,97.5,376.5,283.5,196.5,3443.0,190.0,682.0,98.5,4524.5,97.5,98.5
