,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.26,0.57,0.6,0.34,0.25,0.07,0.2,0.4,0.36,0.34,0.58,0.69
baadengine.csv,0.85,0.79,0.49,0.78,0.08,0.15,0.27,0.37,0.56,0.45,0.92,0.78
chaosrts.csv,0.5,0.56,0.59,0.59,0.07,0.15,0.38,0.37,0.59,0.39,0.86,0.8
chaperon.csv,0.58,0.38,0.39,0.68,0.0,0.62,0.28,0.32,0.4,0.31,0.24,0.5
empyrean.csv,0.0,0.77,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.07,0.08,0.57,0.64,0.0,0.22,0.35,0.44,0.0,0.47,0.19,0.69
jaxlib.csv,0.43,0.43,0.0,0.24,0.67,0.05,0.17,0.23,0.4,0.18,0.8,0.33
joustsim.csv,0.42,0.69,0.48,0.57,0.09,0.2,0.29,0.69,0.56,0.39,0.34,0.63
loki-lib.csv,0.45,0.69,0.5,0.37,0.05,0.11,0.23,0.29,0.62,0.37,0.82,0.67
owlapi.csv,0.85,0.55,0.18,0.58,0.0,0.0,0.5,0.45,0.31,0.35,0.63,0.54
pamguard.csv,0.78,0.7,0.38,0.72,0.0,0.15,0.26,0.09,0.46,0.3,0.91,0.56
poormans.csv,0.64,0.16,0.36,0.53,0.08,0.0,0.29,0.27,0.0,0.64,0.47,0.63
