,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.87,0.43,0.42,0.7,0.71,0.52,0.74,0.39,0.9,0.46,0.46,0.44
baadengine.csv,0.48,0.42,0.38,0.33,0.29,0.39,0.48,0.4,0.44,0.38,0.38,0.37
chaosrts.csv,0.94,0.53,0.5,0.41,0.44,0.43,0.88,0.43,0.6,0.6,0.47,0.36
chaperon.csv,0.62,0.81,0.44,0.39,0.41,0.89,0.57,0.86,0.61,0.52,0.96,0.68
empyrean.csv,0.0,0.56,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.94,0.67,0.46,0.41,0.38,0.5,0.44,0.86,0.5,0.58,0.95,0.39
jaxlib.csv,0.59,0.59,0.67,0.93,0.75,0.56,0.95,0.59,0.67,0.97,0.5,0.8
joustsim.csv,0.55,0.49,0.38,0.46,0.6,0.56,0.5,0.73,0.45,0.49,0.77,0.47
loki-lib.csv,0.87,0.44,0.4,0.68,0.39,0.53,0.49,0.49,0.48,0.51,0.51,0.47
owlapi.csv,0.42,0.73,0.91,0.53,0.45,0.67,0.61,0.73,0.87,0.47,0.46,0.63
pamguard.csv,0.51,0.54,0.5,0.46,0.38,0.53,0.55,0.6,0.55,0.55,0.39,0.54
poormans.csv,0.53,0.86,0.59,0.4,0.3,0.8,0.42,0.42,0.0,0.5,0.46,0.37
