,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.45,0.73,0.71,0.68,0.65,0.75,0.53,0.57,0.76,0.43,0.98,0.89
gmerlin.csv,0.68,0.86,0.36,0.0,0.72,0.0,0.62,0.64,0.0,0.96,0.0,0.96
google-gears.csv,0.74,0.82,0.63,0.73,0.93,0.9,0.41,0.74,0.8,0.57,0.69,0.96
gstreamer.csv,0.87,0.77,0.76,0.87,0.92,0.86,0.72,0.61,0.7,0.65,0.62,1.0
lportal.csv,0.0,0.09,0.01,0.02,0.08,0.73,0.03,0.0,0.41,0.04,0.51,0.11
metacosm.csv,0.29,0.68,0.46,0.2,0.42,0.77,0.38,0.31,0.42,0.39,0.37,0.67
mplayer-ce.csv,0.97,0.77,0.9,0.92,0.58,0.94,0.66,0.83,0.5,0.74,0.54,0.96
openmeetings.csv,0.61,0.95,0.51,0.54,0.52,0.68,0.41,0.33,0.51,0.7,0.71,0.52
qgis.csv,0.58,0.45,0.6,0.0,0.6,0.69,0.25,0.31,0.7,0.7,0.0,0.59
skia.csv,0.74,0.68,0.4,0.75,0.62,0.38,0.38,0.4,0.33,0.7,0.39,0.26
wxcrp.csv,0.61,0.86,0.61,0.8,0.74,0.87,0.72,0.49,0.87,0.65,0.74,0.74
yafdotnet.csv,0.77,0.91,0.57,0.47,0.67,0.91,0.5,0.48,0.48,0.7,0.37,0.85
