,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.56,0.56,0.54,0.97,0.12,0.53,0.64,0.38,0.53,0.52
firebird.csv,0.97,0.3,0.64,0.52,0.54,0.6,0.52,0.59,0.53,0.49
fmri-dmt.csv,0.01,0.04,0.12,0.1,0.0,0.19,0.09,0.0,0.0,0.72
htmlunit.csv,0.1,0.33,0.0,0.41,0.2,0.94,0.21,0.58,0.2,0.51
monetdb.csv,0.61,0.24,0.77,0.39,0.46,0.48,0.41,0.47,0.95,0.38
ontomorphtab.csv,0.46,0.98,0.38,0.62,0.63,0.56,0.61,0.62,0.52,0.67
smarttag.csv,0.24,0.17,0.12,0.25,0.15,0.48,0.23,0.94,0.22,0.53
taokgame.csv,0.48,0.73,1.0,0.34,0.36,0.01,0.36,0.67,0.5,0.0
webdriver.csv,0.3,0.51,0.12,0.51,0.47,0.51,0.97,0.25,0.38,0.37
xbplayer.csv,0.39,0.27,0.34,0.39,0.96,0.46,0.41,0.0,0.23,0.2
