,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.16,0.46,0.88,0.66,0.58,0.58,0.29,0.62,0.15,0.79,0.85,0.48,0.61,1.0,0.22,0.57,0.59,1.0,0.43
autofac.csv,0.44,0.81,0.1,0.72,0.25,0.48,0.65,0.68,0.15,0.79,0.49,0.47,0.14,0.67,0.6,0.57,0.47,0.45,0.54
avisynth2.csv,0.21,0.27,0.18,0.14,0.0,0.04,0.12,0.03,0.1,0.04,0.13,0.15,0.0,1.0,0.21,0.0,0.47,0.01,0.06
dsworkbench.csv,0.55,0.88,0.72,0.21,0.13,0.23,0.18,0.11,0.45,0.28,0.41,0.2,0.0,1.0,0.8,0.14,0.18,0.18,0.17
exist.csv,0.72,1.0,0.82,1.0,0.67,0.78,0.94,0.92,0.8,0.75,1.0,0.95,0.75,1.0,0.37,0.86,1.0,0.87,0.98
forester-atv.csv,0.02,0.88,0.56,0.24,0.02,0.18,0.06,0.08,0.5,0.29,0.13,0.52,0.0,0.0,0.4,0.14,0.41,0.04,0.28
freelords.csv,0.88,0.69,0.98,0.79,0.85,0.62,0.76,0.68,0.85,0.92,0.64,0.32,0.74,0.33,0.81,0.43,0.65,0.75,0.67
gephex.csv,0.11,0.31,0.84,0.9,0.9,0.63,0.76,0.78,0.4,0.56,0.69,0.85,1.0,0.0,0.47,0.71,0.82,0.68,0.51
google-collections.csv,0.81,0.96,1.0,1.0,1.0,0.99,1.0,1.0,0.95,1.0,1.0,0.97,1.0,1.0,0.99,1.0,1.0,1.0,1.0
java-gnome.csv,0.12,0.42,0.52,0.31,0.45,0.3,0.29,0.32,0.1,0.35,0.31,0.7,0.77,0.33,0.16,0.29,0.06,0.37,0.13
jpaul.csv,0.49,0.58,0.84,0.31,0.0,0.09,0.88,0.35,0.35,0.3,0.13,0.57,0.05,0.67,0.66,0.43,0.59,0.01,0.09
neodatis-odb.csv,0.26,0.62,0.18,0.28,0.05,0.15,0.29,0.68,0.3,0.24,0.49,0.0,0.0,0.33,0.33,0.43,0.06,0.37,0.73
octet.csv,0.36,0.46,0.34,0.59,0.05,0.22,0.35,0.35,0.5,0.66,0.67,0.13,0.05,1.0,0.62,0.71,0.12,0.45,0.72
personalaccess.csv,0.15,0.62,0.7,0.48,0.1,0.18,0.65,0.35,0.55,0.3,0.56,0.68,0.0,0.0,0.8,0.57,0.18,0.11,0.37
pokenetonline.csv,0.57,0.92,1.0,0.83,0.82,0.8,0.82,0.89,0.7,1.0,0.95,0.73,0.51,1.0,0.96,0.86,0.88,0.86,0.85
rcp-company-uibindings.csv,0.65,0.77,0.82,0.45,0.32,0.63,0.65,0.43,0.35,0.3,0.64,0.22,0.16,0.67,0.46,0.29,0.41,0.51,0.85
scenemonitor.csv,0.29,0.54,0.8,0.45,0.42,0.43,0.65,0.38,0.8,0.11,0.56,0.63,0.18,0.0,0.59,0.29,0.35,0.2,0.39
servicestack.csv,0.04,0.73,0.56,0.41,0.0,0.16,0.06,0.32,0.05,0.67,0.72,0.37,0.0,0.67,0.31,0.14,0.76,0.01,0.12
st-filteredstatistics.csv,0.42,0.58,0.42,0.72,0.78,0.86,0.76,0.68,0.65,0.84,0.85,0.62,1.0,0.67,0.67,0.71,0.47,0.48,0.69
