,zorannt.csv,dvt.csv,bloodycore.csv,dvd-create.csv,gbif-indexingtoolkit.csv,aime.csv,planeshift.csv,mumble.csv,truevision.csv
aime.csv,0.81,0.77,0.64,0.89,0.52,0.75,0.92,0.48,0.38
bloodycore.csv,0.95,0.84,0.78,0.52,0.75,0.81,0.69,0.85,0.92
dvd-create.csv,0.51,0.41,0.36,0.4,0.35,0.71,0.35,0.37,0.36
dvt.csv,0.56,0.59,0.57,0.4,0.67,0.63,0.39,0.48,0.64
gbif-indexingtoolkit.csv,0.8,0.68,0.57,0.84,0.7,0.7,0.52,0.65,0.96
mumble.csv,0.39,0.53,0.42,0.38,0.36,0.4,0.35,0.47,0.41
planeshift.csv,0.51,0.47,0.41,0.36,0.38,0.44,0.38,0.42,0.33
truevision.csv,0.5,0.34,0.47,0.0,0.4,0.0,0.35,0.42,0.41
zorannt.csv,0.5,0.63,0.96,0.8,0.62,0.53,0.37,0.5,0.86
