,scenemonitor.csv,panda3d.csv,jchassis.csv,xcf.csv,coot.csv
coot.csv,0.45,0.34,0.06,0.45,0.71
jchassis.csv,0.0,0.0,0.4,0.0,0.0
panda3d.csv,0.56,0.48,0.09,0.26,0.52
scenemonitor.csv,0.75,0.39,0.0,0.59,0.47
xcf.csv,0.4,0.43,0.0,0.76,0.64
