,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.52,0.59,0.0,0.42,0.64,0.86,0.05,0.0,0.56,0.4,0.13,0.63,0.29,0.17,0.0,0.0
codepurge.csv,0.5,0.67,0.41,0.47,0.3,0.55,0.88,0.63,0.07,0.51,0.37,0.59,0.64,0.65,0.5,0.44,0.2
fontforge.csv,0.09,0.45,0.0,0.0,0.0,0.67,0.0,0.75,0.32,0.0,0.68,0.29,0.56,0.17,0.05,0.39,0.05
gmerlin.csv,0.0,0.17,0.62,0.0,0.0,0.52,0.0,0.0,0.52,0.0,0.42,0.58,0.0,0.0,0.0,0.66,0.53
hatari.csv,0.57,0.7,0.67,0.59,0.39,0.62,0.6,0.13,0.09,0.5,0.6,0.24,0.56,0.47,0.37,0.42,0.33
jaolt.csv,0.6,0.54,0.35,0.42,0.02,0.48,0.89,0.6,0.58,0.0,0.72,0.58,0.66,0.5,0.09,0.47,0.37
jcl.csv,0.7,0.55,0.62,0.28,0.7,0.54,0.0,0.54,0.44,0.47,0.46,0.07,0.49,0.46,0.53,0.29,0.47
ltp.csv,0.4,0.54,0.42,0.65,0.72,0.59,0.0,0.53,0.53,0.58,0.66,0.62,0.43,0.47,0.52,0.32,0.55
mia.csv,0.41,0.04,0.45,0.46,0.02,0.21,0.92,0.67,0.44,0.2,0.39,0.64,0.13,0.0,0.17,0.32,0.25
net-snmp.csv,0.64,0.51,0.52,0.52,0.45,0.52,0.92,0.0,0.5,0.49,0.45,0.71,0.47,0.57,0.17,0.45,0.24
opde.csv,0.0,0.56,0.0,0.63,0.0,0.63,0.88,0.67,0.59,0.0,0.66,0.17,0.58,0.61,0.33,0.46,0.51
oppna-program-hsatools.csv,0.61,0.66,0.64,0.0,0.62,0.55,0.47,0.46,0.34,0.21,0.89,0.05,0.61,0.14,0.57,0.59,0.47
powerfolder-.csv,0.57,0.74,0.39,0.54,0.2,0.3,0.93,0.2,0.69,0.3,0.66,0.42,0.42,0.05,0.45,0.4,0.24
qlc.csv,0.0,0.66,0.0,0.54,0.02,0.56,0.91,0.0,0.77,0.0,0.26,0.44,0.37,0.37,0.54,0.0,0.59
quantlib.csv,0.3,0.16,0.25,0.0,0.0,0.14,0.0,0.0,0.13,0.0,0.14,0.44,0.09,0.0,0.0,0.53,0.68
tcl.csv,0.46,0.44,0.5,0.17,0.58,0.52,0.0,0.0,0.56,0.71,0.55,0.31,0.27,0.35,0.0,0.22,0.5
