,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.48,0.55,0.0,0.97,0.64,1.0,0.04,0.0,0.72,0.35,0.11,0.62,0.25,0.14,0.0,0.0
codepurge.csv,0.88,0.81,0.79,0.44,0.98,0.53,1.0,0.79,0.06,0.49,0.33,0.72,0.63,0.62,0.5,0.41,0.17
fontforge.csv,0.93,0.9,0.93,1.0,1.0,0.79,1.0,0.75,0.89,1.0,0.7,0.89,0.74,1.0,1.0,0.91,0.96
gmerlin.csv,0.0,0.9,0.83,1.0,0.0,0.88,1.0,0.0,0.83,0.0,0.93,0.83,1.0,1.0,0.0,0.66,0.58
hatari.csv,0.68,0.74,0.66,0.76,0.89,0.68,1.0,0.92,0.94,0.9,0.56,0.94,0.63,0.46,0.93,0.38,0.29
jaolt.csv,0.61,0.74,0.31,0.4,0.02,0.45,1.0,0.67,0.56,0.0,0.8,0.61,0.71,0.46,0.07,0.44,0.33
jcl.csv,0.8,0.52,0.69,0.24,0.74,0.53,0.0,0.5,0.44,0.46,0.43,0.06,0.47,0.5,0.5,0.25,0.46
ltp.csv,0.37,0.71,0.86,0.76,0.79,0.73,0.0,0.96,0.67,0.64,0.66,0.67,0.7,0.83,0.71,0.28,0.71
mia.csv,0.37,0.03,0.41,0.64,0.02,0.18,1.0,0.67,0.44,0.9,0.34,0.61,0.11,0.0,0.14,0.28,0.21
net-snmp.csv,0.66,0.48,0.52,0.68,0.49,0.56,1.0,1.0,0.89,0.56,0.56,0.83,0.45,0.54,0.14,0.41,0.21
opde.csv,1.0,0.58,1.0,0.6,1.0,0.73,1.0,0.75,0.67,0.0,0.64,1.0,0.7,0.62,0.79,0.44,0.5
oppna-program-hsatools.csv,0.88,0.68,0.79,1.0,0.93,0.52,1.0,0.88,0.89,0.95,0.88,1.0,0.64,0.12,0.71,0.66,0.5
powerfolder-.csv,0.56,0.74,0.34,0.72,0.17,0.26,1.0,0.17,0.83,0.26,0.65,0.78,0.38,0.04,0.43,0.38,0.21
qlc.csv,0.0,0.84,0.0,0.56,0.02,0.53,1.0,0.0,0.83,0.0,0.22,0.78,0.32,0.33,0.5,0.0,0.58
quantlib.csv,0.95,0.13,0.21,0.0,1.0,0.12,0.0,1.0,0.11,1.0,0.12,0.39,0.07,0.0,1.0,0.78,0.67
tcl.csv,0.51,0.84,0.66,0.88,0.73,0.67,0.0,0.0,0.61,0.74,0.7,0.56,0.9,0.33,0.0,0.19,0.75
