,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.61,1.0,0.93,0.92,0.6,0.87,0.9,0.97,0.72,0.04,0.58,0.92
aubit4gl.csv,0.84,0.71,0.77,0.9,0.02,0.82,0.86,0.84,0.98,0.74,0.69,0.78
liferea.csv,0.63,0.85,0.54,0.15,0.87,0.67,0.73,0.65,0.76,0.79,0.45,0.64
moving-pictures.csv,0.71,0.92,0.6,0.79,0.7,0.66,0.0,0.53,0.53,0.68,0.61,0.59
olex2.csv,0.54,0.67,0.57,0.71,1.01,0.83,0.72,0.91,0.82,0.67,0.54,0.02
opensim4opencog.csv,0.9,0.83,0.79,0.78,0.73,0.04,0.86,0.87,0.98,0.88,0.86,0.96
plearn.csv,0.02,0.71,0.74,0.82,0.78,0.79,0.81,0.68,0.54,0.66,0.47,0.7
psrchive.csv,0.74,1.0,0.07,0.92,0.95,0.96,0.9,0.97,0.85,0.83,0.72,0.88
re2c.csv,0.69,0.0,0.51,0.83,0.76,0.64,0.65,0.7,0.38,0.69,0.81,0.6
rebecca-aiml.csv,0.71,0.83,0.6,0.65,0.82,0.67,0.77,0.62,0.0,0.71,0.43,0.56
wxcode.csv,0.88,0.84,0.93,0.92,0.84,0.96,0.96,0.94,0.94,0.9,0.0,0.88
xfce.csv,0.6,0.77,0.67,0.51,0.71,0.55,0.74,0.02,0.52,0.56,0.7,0.75
