,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.44,0.0,0.07,0.08,0.43,0.13,0.11,0.03,0.33,0.97,0.43,0.08
aubit4gl.csv,0.44,0.67,0.43,0.46,0.98,0.26,0.21,0.25,0.39,0.33,0.43,0.35
liferea.csv,0.41,0.17,0.5,0.85,0.15,0.35,0.29,0.39,0.24,0.23,0.57,0.38
moving-pictures.csv,0.31,0.17,0.57,0.23,0.43,0.43,1.0,0.48,0.48,0.4,0.43,0.78
olex2.csv,0.54,0.33,0.5,0.31,0.0,0.39,0.36,0.09,0.24,0.47,0.57,0.98
opensim4opencog.csv,0.1,0.17,0.21,0.23,0.31,0.96,0.14,0.15,0.04,0.13,0.14,0.05
plearn.csv,0.98,0.33,0.29,0.23,0.78,0.3,0.46,0.48,0.48,0.57,0.86,0.35
psrchive.csv,0.27,0.0,0.93,0.08,0.06,0.04,0.11,0.03,0.15,0.17,0.29,0.12
re2c.csv,0.34,1.0,0.64,0.31,0.33,0.43,0.64,0.59,0.7,0.53,0.43,0.53
rebecca-aiml.csv,0.31,0.17,0.43,0.54,0.87,0.39,0.5,0.59,1.0,0.37,0.71,0.47
wxcode.csv,0.12,0.17,0.07,0.08,0.17,0.04,0.04,0.06,0.06,0.1,1.0,0.12
xfce.csv,0.64,0.33,0.86,0.92,0.52,0.57,0.54,0.98,0.57,0.63,0.43,0.8
