,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.8,0.35,0.58,0.14,0.1,0.32,0.58,0.36,0.1,0.55,0.07,0.52,0.1,0.13,0.14,0.0
customsagetv.csv,0.58,0.07,0.3,0.33,0.17,0.19,0.22,0.07,0.02,0.32,0.89,0.0,0.19,0.1,0.36,0.05
glas.csv,0.71,0.65,0.61,0.4,0.59,0.62,0.64,0.4,0.12,0.86,0.47,0.38,0.1,0.59,0.17,0.44
intact.csv,0.6,0.53,0.41,0.59,0.45,0.55,0.57,0.35,0.08,0.63,0.69,0.4,0.09,0.22,0.24,0.29
japano.csv,0.55,0.47,0.65,0.45,0.85,0.85,0.63,0.33,0.05,0.67,0.69,0.51,0.07,0.52,0.14,0.69
jas.csv,0.56,0.07,0.49,0.37,0.75,0.48,0.35,0.4,0.04,0.5,0.6,0.41,0.21,0.28,0.44,0.39
lazarus-ccr.csv,0.52,0.82,0.89,0.42,0.57,0.81,0.6,0.43,0.06,0.74,0.48,0.41,0.04,0.53,0.09,0.61
officefloor.csv,0.72,0.39,0.31,0.29,0.05,0.64,0.41,0.44,0.12,0.48,0.14,0.08,0.09,0.1,0.0,0.17
primefaces.csv,0.68,0.61,0.98,0.38,0.75,0.84,0.74,0.43,0.05,0.92,0.39,0.49,0.05,0.57,0.11,0.77
pustefix.csv,0.66,0.07,0.57,0.42,0.58,0.44,0.51,0.54,0.04,0.87,0.56,0.46,0.1,0.21,0.13,0.43
red5.csv,0.65,0.62,0.64,0.45,0.89,0.87,0.73,0.42,0.07,0.79,0.52,0.36,0.06,0.58,0.17,0.75
redshell.csv,0.14,0.33,0.88,0.45,0.46,0.74,0.57,0.42,0.05,0.04,0.54,0.36,0.05,0.46,0.12,0.51
rohxel.csv,0.62,0.51,0.58,0.35,0.83,0.7,0.17,0.1,0.05,0.73,0.55,0.28,0.0,0.35,0.0,0.66
roolo.csv,0.47,0.48,0.81,0.4,0.51,0.47,0.46,0.4,0.05,0.75,0.78,0.65,0.07,0.58,0.13,0.69
toped.csv,0.45,0.55,0.89,0.37,0.83,0.92,0.67,0.39,0.03,0.9,0.53,0.5,0.06,0.56,0.07,0.71
xreal.csv,0.35,0.36,0.37,0.38,0.41,0.55,0.5,0.15,0.02,0.2,0.55,0.35,0.77,0.29,0.27,0.33
