,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
algebsql.csv,0.05,0.07,0.43,0.44,0.38,0.25,0.25,0.4,0.95,0.42,0.04,0.16,0.13,0.25,0.18,0.71,0.12,0.36,0.4,0.06,0.31,0.51,0.82,0.49,0.73,0.32,0.69,0.9,0.12,0.23,0.57,0.09,0.82,0.8,0.57,0.14,0.33,0.57,0.37,0.79,0.12,0.62,0.73,0.45,0.02,0.03,0.19,0.57,0.18,1.0,0.97,0.23,0.73,0.7,0.83,0.48,0.14,0.09,0.17,0.2,0.0,0.21,0.11,0.9
bochs.csv,0.12,0.15,0.45,0.5,0.61,0.2,0.33,0.75,0.93,0.67,0.11,0.36,0.15,0.47,0.17,0.76,0.35,0.34,0.36,0.04,0.45,0.74,0.93,0.58,0.64,0.32,0.98,0.41,0.13,0.26,0.43,0.19,1.0,0.63,0.67,0.11,0.47,0.67,0.55,0.86,0.17,0.76,0.68,0.54,0.04,0.28,0.25,0.72,0.23,0.71,0.98,0.4,0.82,0.71,0.82,0.54,0.23,0.03,0.24,0.28,0.16,0.27,0.12,0.74
boost-sandbox.csv,0.14,0.18,0.32,0.45,0.38,0.22,0.28,0.79,0.93,0.55,0.1,0.41,0.17,0.38,0.16,0.81,0.26,0.28,0.36,0.08,0.44,0.62,0.91,0.5,0.8,0.26,0.86,0.27,0.09,0.27,0.4,0.15,0.89,0.62,0.63,0.12,0.47,0.64,0.54,0.76,0.19,0.71,0.67,0.48,0.06,0.16,0.23,0.62,0.17,0.98,1.0,0.32,0.86,0.69,0.81,0.61,0.2,0.05,0.38,0.29,0.17,0.28,0.31,0.76
botsnscouts.csv,0.17,0.18,0.45,0.56,0.52,0.21,0.34,0.76,0.93,0.5,0.19,0.24,0.14,0.32,0.14,0.74,0.3,0.27,0.34,0.06,0.53,0.76,0.93,0.47,0.58,0.35,0.39,0.5,0.12,0.32,0.5,0.15,0.95,0.64,0.69,0.11,0.64,0.74,0.65,0.74,0.24,0.77,0.64,0.69,0.05,0.52,0.28,0.76,0.2,0.98,1.0,0.4,0.81,0.66,0.81,0.76,0.24,0.04,0.32,0.34,0.12,0.37,0.14,0.81
bscwweasel.csv,0.19,0.25,0.46,0.5,0.49,0.23,0.4,0.86,0.95,0.67,0.5,0.38,0.3,0.41,0.19,0.76,0.29,0.33,0.39,0.06,0.43,0.58,0.6,0.52,0.7,0.28,1.0,0.57,0.13,0.23,0.5,0.16,0.96,0.56,0.64,0.12,0.65,0.72,0.47,0.84,0.24,0.62,0.61,0.7,0.25,0.54,0.8,0.79,0.12,1.0,1.0,0.47,0.79,0.77,0.69,0.67,0.24,0.17,0.35,0.45,0.17,0.54,0.27,0.88
bzbyte.csv,0.0,0.0,0.39,0.0,0.0,0.21,0.54,0.91,0.0,0.5,0.1,0.23,0.12,0.32,0.17,0.0,0.27,0.27,0.0,0.05,0.44,0.83,0.67,0.0,0.0,0.17,0.69,0.49,0.0,0.26,0.43,0.0,0.92,0.67,0.83,0.0,0.5,0.0,0.52,0.0,0.0,0.71,0.68,0.0,0.04,0.0,0.0,0.63,0.0,0.87,0.98,0.0,0.74,0.81,0.82,0.52,0.0,0.05,0.21,0.0,0.08,0.0,0.1,0.67
capcode.csv,0.11,0.1,0.4,0.38,0.38,0.25,0.32,0.81,0.93,0.5,0.11,0.23,0.14,0.41,0.32,0.76,0.36,0.29,0.34,0.03,0.37,0.56,0.87,0.49,0.5,0.29,0.91,0.52,0.09,0.27,0.2,0.14,0.9,0.69,0.58,0.03,0.42,0.59,0.44,0.65,0.13,0.7,0.55,0.68,0.04,0.24,0.28,0.65,0.13,0.76,0.98,0.32,0.68,0.65,0.8,0.5,0.19,0.09,0.21,0.31,0.23,0.26,0.19,0.76
cme.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.75,0.67,0.6,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.57,0.5,0.71,0.33,1.0,0.43,1.0,0.0,0.0,0.6,0.43,0.0,0.5,0.1,0.0,1.0,1.0,1.0,0.75,0.75,0.71,0.0,0.0,0.22,0.0,0.0,0.14,0.0,0.64,0.0,1.0
dspace-gsoc.csv,0.15,0.16,0.39,0.45,0.58,0.18,0.34,0.75,0.95,0.5,0.12,0.26,0.1,0.31,0.14,0.74,0.27,0.25,0.34,0.03,0.44,0.8,0.95,0.45,0.52,0.42,0.5,0.32,0.08,0.38,0.46,0.31,0.92,0.63,0.78,0.11,0.67,0.61,0.64,0.75,0.18,0.77,0.81,0.76,0.02,0.13,0.24,0.77,0.21,1.0,0.97,0.29,0.74,0.65,0.83,0.64,0.23,0.04,0.28,0.29,0.33,0.25,0.16,0.66
emite.csv,0.15,0.12,0.4,0.44,0.69,0.2,0.31,0.69,0.71,0.61,0.06,0.27,0.05,0.33,0.05,0.73,0.21,0.0,0.22,0.0,0.58,0.8,0.95,0.41,0.82,0.6,0.8,0.24,0.1,1.0,0.45,0.14,1.0,0.62,0.65,0.0,0.61,1.0,0.44,0.91,0.26,0.62,0.73,0.25,0.0,0.22,0.19,0.62,0.38,1.0,0.0,0.33,0.67,0.62,0.72,0.44,0.25,0.04,0.28,0.21,0.12,0.16,0.02,0.78
