,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.41,0.33,0.47,0.74,0.96,0.23,1.0,0.87,0.49,0.73,0.74,0.95,0.35,0.19
calcubetimer.csv,0.41,0.37,0.76,0.73,0.88,0.29,0.0,0.09,0.54,0.09,0.41,0.26,0.39,0.88
chaosrts.csv,0.44,0.46,0.82,0.39,0.52,0.6,0.5,0.51,0.49,0.68,0.41,0.21,0.39,0.71
chaperon.csv,0.41,0.02,0.33,0.21,0.46,0.08,0.75,0.01,0.51,0.34,0.07,0.26,0.39,0.38
dxengine.csv,0.27,0.51,0.22,0.57,0.04,0.69,1.0,0.69,0.49,0.39,0.7,0.42,0.61,0.21
emono.csv,0.46,0.83,0.45,0.92,0.78,0.56,0.75,0.72,0.59,0.73,0.78,0.89,0.87,0.43
factor.csv,0.05,0.95,0.51,0.55,0.18,0.1,0.5,0.24,0.49,0.03,0.48,0.05,0.09,0.07
jas.csv,0.54,0.48,0.61,0.52,0.26,0.73,1.0,0.32,0.41,0.14,0.48,0.05,0.74,0.71
jmoney.csv,0.17,0.54,0.51,0.87,0.48,0.25,0.0,0.04,0.43,0.36,0.04,0.26,0.35,0.74
jmonkeyengine.csv,0.59,0.78,0.71,0.56,0.16,0.6,0.5,0.48,0.68,0.76,0.48,0.26,0.65,0.93
matrex.csv,0.22,0.16,0.0,0.18,0.1,0.02,0.0,0.16,0.08,0.09,0.0,0.68,0.22,0.05
primefaces.csv,0.78,0.81,0.98,0.62,1.0,0.48,0.5,0.53,0.78,0.63,0.19,0.63,0.96,1.0
roolo.csv,0.73,0.37,0.43,0.79,0.84,0.75,0.25,0.85,0.16,0.95,0.81,0.89,0.57,0.71
sblim.csv,0.41,0.19,0.25,0.19,0.12,0.38,0.0,0.09,0.43,0.19,0.15,0.21,0.35,0.95
