,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.51,0.55,0.79,1.04,0.97,0.55,1.01,0.89,0.85,0.74,0.77,0.95,1.04,0.73
calcubetimer.csv,0.43,0.78,0.9,0.76,0.89,0.8,0.16,0.81,0.85,1.0,0.77,0.79,1.01,0.9
chaosrts.csv,0.78,0.64,0.86,0.83,0.68,0.96,0.73,0.79,0.6,0.84,0.59,0.32,1.03,0.86
chaperon.csv,0.65,0.88,0.53,0.71,0.64,0.08,1.0,0.99,0.62,0.42,0.88,0.9,0.83,0.64
dxengine.csv,0.75,0.91,0.4,0.61,0.95,0.69,1.21,0.84,0.73,0.96,0.78,0.95,0.61,0.79
emono.csv,0.88,0.88,0.58,1.02,0.83,0.75,0.79,0.78,0.63,0.77,0.82,0.95,0.9,0.56
factor.csv,0.95,0.95,0.84,0.61,0.85,1.01,0.52,0.8,0.81,1.0,0.6,0.97,0.13,0.74
jas.csv,1.01,0.79,0.62,0.59,0.56,0.77,1.25,0.87,0.64,0.19,0.83,0.79,0.74,0.84
jmoney.csv,0.23,0.78,0.53,0.91,0.65,0.56,0.5,0.8,0.66,0.52,0.83,0.53,0.83,0.83
jmonkeyengine.csv,0.91,0.96,0.71,0.57,0.32,0.78,0.99,0.93,0.76,0.91,0.6,0.73,0.65,0.94
matrex.csv,0.37,0.71,0.85,0.41,0.95,0.75,0.75,0.24,0.85,0.63,0.97,0.85,0.79,0.94
primefaces.csv,0.78,0.87,0.98,0.63,1.0,0.54,0.62,0.54,0.82,0.63,0.27,0.65,0.96,1.0
roolo.csv,0.81,0.52,0.62,0.96,0.87,0.75,0.51,0.89,0.3,0.95,0.84,0.9,1.11,0.76
sblim.csv,0.58,0.9,0.45,0.23,0.73,0.62,0.86,0.81,0.91,1.02,0.69,0.68,0.56,0.96
