,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.55,0.39,0.33,0.13,0.39,0.24,0.9,0.59,0.27,0.14,0.68,0.91,0.04,0.43
calcubetimer.csv,0.65,0.23,0.35,0.34,0.41,0.11,0.91,0.3,0.3,0.0,0.43,0.4,0.11,0.71
chaosrts.csv,0.31,0.33,0.45,0.2,0.37,0.06,0.62,0.41,0.51,0.09,0.62,0.85,0.08,0.54
chaperon.csv,0.43,0.21,0.53,0.3,0.39,0.67,0.49,0.03,0.5,0.22,0.21,0.24,0.36,0.58
dxengine.csv,0.32,0.15,0.64,0.39,0.1,0.2,0.46,0.48,0.38,0.04,0.63,0.24,0.83,0.35
emono.csv,0.23,0.28,0.51,0.22,0.37,0.12,0.84,0.58,0.55,0.12,0.64,0.76,0.69,0.68
factor.csv,0.09,0.35,0.29,0.38,0.2,0.0,0.91,0.31,0.31,0.0,0.66,0.06,0.92,0.4
jas.csv,0.13,0.23,0.59,0.39,0.45,0.14,0.38,0.25,0.44,0.45,0.39,0.34,0.8,0.57
jmoney.csv,0.77,0.25,0.61,0.29,0.38,0.22,0.67,0.33,0.43,0.18,0.29,0.68,0.34,0.62
jmonkeyengine.csv,0.24,0.19,0.55,0.45,0.67,0.11,0.24,0.24,0.45,0.08,0.66,0.48,0.83,0.72
matrex.csv,0.65,0.32,0.26,0.55,0.08,0.33,0.4,0.83,0.23,0.27,0.05,0.63,0.36,0.11
primefaces.csv,0.54,0.28,0.52,0.43,0.42,0.2,0.75,0.74,0.47,0.18,0.83,0.87,0.78,0.79
roolo.csv,0.41,0.41,0.47,0.2,0.38,0.18,0.7,0.57,0.73,0.13,0.68,0.93,0.07,0.71
sblim.csv,0.49,0.13,0.6,0.67,0.34,0.17,0.25,0.3,0.2,0.0,0.46,0.51,0.64,0.73
