,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.9,0.8,0.92,0.75,0.89,0.56,0.7,0.97,0.97,0.89,0.72,0.76,0.89,0.67
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
hydrate.csv,0.8,0.67,0.57,0.0,0.65,0.55,0.67,0.26,0.67,0.55,0.5,0.73,0.39,0.43
ivef-sdk.csv,0.46,0.49,0.6,0.48,0.5,0.61,0.49,0.5,0.49,0.49,0.91,0.49,0.75,0.55
jmri.csv,0.81,0.67,0.59,0.91,0.69,0.54,0.73,0.28,0.85,0.67,0.55,0.92,0.38,0.45
jython.csv,0.57,0.51,0.55,0.67,0.52,0.79,0.67,0.95,0.62,0.68,0.51,0.52,0.57,0.39
kdenlive.csv,0.44,0.43,0.39,0.39,0.45,0.47,0.51,0.26,0.45,0.45,0.45,0.37,0.37,0.38
opentibia.csv,0.39,0.43,0.44,0.49,0.46,0.67,0.49,0.27,0.44,0.47,0.47,0.31,0.35,0.5
projectfactory.csv,0.92,0.89,0.96,0.67,0.9,0.74,0.9,0.28,0.79,0.61,0.88,0.78,0.79,0.75
runuomondains.csv,0.9,0.67,0.97,0.5,0.75,0.0,0.0,0.8,0.75,0.75,0.86,0.75,0.8,0.75
somap.csv,0.42,0.44,0.37,0.46,0.39,0.43,0.41,0.26,0.49,0.36,0.43,0.35,0.37,0.38
taverna.csv,0.94,0.94,0.99,0.89,0.77,0.74,0.8,0.93,0.91,0.61,0.69,0.86,0.67,0.9
unbvision.csv,0.58,0.6,0.63,0.83,0.66,0.94,0.63,0.97,0.79,0.9,0.49,0.8,0.47,0.58
x-ray-mule.csv,0.89,0.91,0.96,0.67,0.92,0.0,0.83,0.0,0.82,0.94,0.67,0.92,0.0,0.0
