,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.49,0.86,0.43,0.68,0.37,0.64,1.0,0.33,0.16,0.44,0.11,1.0,0.47,0.0
cme.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.8,1.0,0.61,0.0,0.41,0.35,0.22,0.11,0.67,0.5,0.25,0.93,1.0,0.24
ivef-sdk.csv,0.63,0.95,0.45,0.65,0.37,1.0,0.56,1.0,0.25,0.46,0.09,0.89,0.25,0.11
jmri.csv,0.62,0.87,1.0,0.45,0.45,0.6,0.5,0.11,0.19,0.59,0.11,0.92,0.76,0.08
jython.csv,0.66,0.91,0.5,0.56,0.43,0.97,0.33,1.0,0.27,0.39,0.17,0.93,0.81,0.14
kdenlive.csv,0.99,0.9,0.48,0.42,0.29,0.42,0.49,0.12,0.34,0.57,0.14,0.96,0.66,0.11
opentibia.csv,0.68,1.0,0.48,0.57,0.26,0.6,0.6,0.13,0.27,0.47,0.12,0.93,0.67,0.07
projectfactory.csv,0.75,1.0,0.42,0.0,0.4,0.21,0.2,0.06,0.28,1.0,0.18,0.96,0.58,0.0
runuomondains.csv,1.0,1.0,0.66,0.5,0.25,0.0,0.0,0.4,0.75,0.75,1.0,1.0,0.8,0.0
somap.csv,0.65,0.87,0.48,0.6,0.34,0.69,0.49,0.13,0.26,0.49,0.12,1.0,0.63,0.09
taverna.csv,0.61,0.76,0.4,0.56,1.0,0.21,0.2,0.71,0.55,0.5,0.31,1.0,0.67,0.0
unbvision.csv,0.71,0.83,0.61,0.33,0.24,0.97,0.51,0.41,1.0,0.6,0.14,0.87,0.83,0.16
x-ray-mule.csv,0.56,1.0,0.21,1.0,0.23,1.0,0.0,0.0,0.27,0.44,0.67,0.92,1.0,0.0
