,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.64,0.58,0.21,0.45,0.23,0.7,0.0,0.14,0.31,0.12,0.54,0.0,0.53,0.29
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.03,0.0,0.19,0.0,0.19,0.43,0.2,0.99,0.01,0.23,0.31,0.17,0.0,0.31
ivef-sdk.csv,0.85,0.25,0.66,0.8,0.74,0.0,0.71,0.0,0.79,0.77,0.17,1.0,0.16,0.65
jmri.csv,0.31,0.42,0.0,0.3,0.3,0.87,0.37,0.92,0.45,0.26,0.58,0.17,0.47,0.67
jython.csv,0.41,0.42,0.38,0.4,0.47,0.03,0.34,0.0,0.47,0.44,0.58,0.5,0.21,0.6
kdenlive.csv,0.03,0.5,0.55,0.9,0.51,0.77,0.66,0.98,0.55,0.44,0.61,0.33,0.63,0.77
opentibia.csv,0.82,0.0,0.45,1.0,0.49,0.2,0.54,0.99,0.73,0.47,0.76,0.67,0.84,0.5
projectfactory.csv,0.08,0.0,0.22,0.15,0.11,0.5,0.23,0.91,0.25,0.0,0.24,0.17,0.42,0.08
runuomondains.csv,0.0,0.0,0.04,0.05,0.06,0.03,0.03,0.02,0.01,0.02,0.0,0.0,0.05,0.08
somap.csv,1.0,1.0,0.92,1.0,0.98,1.0,1.0,1.0,1.0,0.88,1.0,0.0,1.0,0.98
taverna.csv,0.18,0.33,0.18,0.2,0.0,0.5,0.11,0.03,0.06,0.44,0.15,0.0,0.26,0.19
unbvision.csv,0.44,0.75,0.26,0.2,0.42,0.03,0.6,0.13,0.0,0.09,0.63,0.33,0.26,0.31
x-ray-mule.csv,0.1,0.0,0.09,0.0,0.19,0.0,0.17,0.0,0.19,0.23,0.02,0.17,0.0,0.02
