,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.69,0.73,0.48,0.84,0.85,0.58,0.56,0.79,0.8,0.46,0.69,0.64,0.75,0.72
exordium.csv,0.75,0.9,0.63,0.9,0.31,0.63,0.51,0.36,0.5,0.54,0.8,0.55,0.64,0.64
google-caja.csv,0.76,0.69,0.56,0.68,0.45,0.81,0.38,0.32,0.9,0.65,0.7,0.6,0.63,0.68
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,0.93,0.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.85,0.8,0.58,0.74,0.67,0.59,0.47,0.93,0.97,0.9,0.92,0.62,0.54,0.62
kvs.csv,1.0,1.0,0.72,0.31,1.0,0.93,1.0,0.83,0.79,0.79,0.91,0.92,0.94,0.86
megameknet.csv,0.71,0.63,0.69,0.69,0.78,0.75,0.65,0.93,0.59,0.42,0.71,0.7,0.75,0.76
ns-3-dev-def-routing.csv,0.79,0.76,0.68,0.91,0.43,0.84,0.73,0.81,0.7,0.58,0.7,0.57,0.6,0.77
open-ms.csv,0.77,0.84,0.57,0.51,0.63,0.67,0.38,0.6,0.59,0.53,0.84,0.66,0.66,0.54
openmsx.csv,0.68,0.83,0.75,1.0,1.0,0.6,0.88,0.85,0.92,0.86,0.6,0.71,0.95,0.78
rezilla.csv,1.01,0.43,0.78,0.75,0.94,0.9,0.63,0.92,0.72,0.83,0.83,0.88,0.81,0.82
sauerbraten.csv,0.36,0.84,0.9,1.0,0.91,0.85,0.99,0.59,0.92,0.98,0.91,0.97,1.0,0.97
webdriver.csv,0.79,0.86,0.61,0.62,0.53,0.35,0.44,0.72,0.56,0.39,0.72,0.56,0.57,0.55
yafdotnet.csv,0.62,0.84,0.56,0.62,0.6,0.59,0.42,0.45,0.39,0.54,0.76,0.6,0.59,0.65
