,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.33,0.45,0.37,0.48,0.61,0.12,0.94,0.33,0.55,0.71
empserver.csv,0.35,0.28,0.5,0.51,0.92,0.62,0.47,0.43,0.56,0.47
enlightenment.csv,0.51,0.31,0.7,0.98,0.42,0.12,0.51,0.58,0.45,0.32
ffigo.csv,0.49,0.28,0.73,0.51,0.67,0.25,0.86,1.0,0.57,0.26
ildjit.csv,0.06,0.9,0.05,0.03,0.06,0.0,0.12,0.01,0.08,0.08
jfreereport.csv,0.54,0.86,0.92,0.65,0.58,0.38,0.43,0.64,0.68,0.74
mplayer-ce.csv,0.81,0.9,0.58,0.82,0.78,1.0,0.43,0.79,0.95,0.74
psycle.csv,0.97,0.9,0.9,0.78,0.58,0.5,0.92,0.59,0.71,0.63
wikipediardware.csv,0.67,0.66,0.96,0.74,0.72,1.0,0.91,0.76,0.82,1.0
wxjs.csv,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
