,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.45,0.66,0.51,0.62,0.46,0.76,0.88,0.3,0.12,0.23,0.19,0.08,0.07,0.2,0.65
continuum-ide.csv,0.44,0.32,0.13,0.0,0.16,0.58,0.06,0.67,0.13,0.27,0.17,0.1,0.04,0.2,0.57
fleet-simulator.csv,0.8,0.82,0.62,0.61,0.5,0.82,0.61,0.47,0.16,0.89,0.24,0.82,0.98,0.58,0.77
hydrate.csv,0.08,0.37,0.44,0.0,0.18,0.0,0.11,0.36,0.0,0.4,0.24,0.18,0.67,0.23,0.71
ivef-sdk.csv,0.7,0.48,0.58,0.81,0.36,1.0,0.24,0.18,0.08,0.7,0.0,0.64,0.0,0.4,0.0
jmri.csv,0.53,0.38,0.63,0.24,0.14,0.72,0.46,0.51,0.17,0.35,0.32,0.46,0.23,0.25,0.38
kdenlive.csv,0.77,0.71,0.51,0.48,0.56,0.57,0.21,0.47,0.17,0.56,0.26,0.82,0.88,0.57,0.74
mia.csv,0.24,0.49,0.33,0.21,0.36,0.58,0.0,0.36,0.37,0.45,0.21,0.38,0.71,0.23,0.44
ontopia.csv,0.75,0.88,0.55,0.57,0.15,0.29,0.27,0.0,0.15,0.87,0.15,0.55,0.69,0.45,0.61
opentibia.csv,0.44,0.86,0.47,0.49,0.4,0.06,0.63,0.4,0.21,0.43,0.25,0.42,0.64,0.69,0.72
runuomondains.csv,0.71,0.54,0.61,0.2,0.21,0.8,0.35,0.48,0.31,0.62,0.54,0.55,0.52,0.24,0.53
somap.csv,0.74,0.9,0.58,0.78,0.55,0.19,0.61,0.47,0.16,0.79,0.2,0.91,0.93,0.77,0.78
taverna.csv,0.54,0.62,0.35,0.3,0.63,0.09,0.7,0.15,0.25,0.59,0.29,0.52,0.88,0.71,0.44
tigermud.csv,0.41,0.52,0.53,0.39,0.33,0.5,0.27,0.47,0.19,0.54,0.21,0.68,0.62,0.68,0.75
x-ray-mule.csv,0.37,0.54,0.46,0.81,0.53,0.06,0.55,0.19,0.0,0.7,0.0,0.66,0.42,0.64,0.0
