,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.41,0.54,0.51,0.53,0.78,0.82,0.85,0.35,0.33,0.13,0.88,0.04,0.04,0.11,0.7
continuum-ide.csv,0.35,0.2,0.07,0.0,0.11,0.42,0.03,0.76,0.11,0.16,0.38,0.06,0.02,0.11,0.52
fleet-simulator.csv,0.94,0.76,0.87,0.7,0.96,1.0,0.7,1.0,0.83,0.95,1.0,0.75,0.96,0.54,0.97
hydrate.csv,0.04,0.23,0.34,0.0,0.11,0.0,0.06,0.29,0.0,0.26,1.0,0.1,0.5,0.14,0.7
ivef-sdk.csv,0.72,0.33,0.63,0.8,0.48,1.0,0.24,0.18,0.11,0.58,0.0,0.51,0.0,0.31,0.0
jmri.csv,0.38,0.24,0.62,0.17,0.15,0.57,0.48,0.76,0.61,0.22,0.5,0.31,0.13,0.14,0.27
kdenlive.csv,0.75,0.6,0.51,0.5,0.78,0.54,0.15,0.82,1.0,0.45,0.88,0.72,0.78,0.54,0.82
mia.csv,0.14,0.34,0.25,0.13,0.3,0.42,0.0,0.29,0.67,0.33,0.5,0.24,0.56,0.14,0.33
ontopia.csv,0.75,0.87,0.55,0.57,0.15,0.24,0.21,0.0,0.67,0.8,0.5,0.4,0.59,0.37,0.55
opentibia.csv,0.32,0.78,0.41,0.4,0.48,0.03,0.85,0.35,0.28,0.29,0.75,0.26,0.54,0.83,0.79
runuomondains.csv,0.59,0.37,0.65,0.17,0.22,0.96,0.33,0.65,0.61,0.49,0.88,0.39,0.41,0.17,0.45
somap.csv,0.92,0.93,0.77,1.0,1.0,0.15,0.82,1.0,0.89,0.78,0.88,0.83,1.0,1.0,1.0
taverna.csv,0.41,0.47,0.29,0.2,0.7,0.06,0.91,0.12,0.44,0.47,0.5,0.35,0.91,0.86,0.3
tigermud.csv,0.34,0.39,0.65,0.3,0.3,0.42,0.21,0.88,0.39,0.42,0.38,0.51,0.52,0.69,0.91
x-ray-mule.csv,0.3,0.39,0.44,0.83,0.85,0.03,0.64,0.18,0.0,0.58,0.0,0.53,0.3,0.63,0.0
