,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.57,0.52,0.56,0.68,0.77,0.48,0.02,0.71,0.53,0.69,0.64,0.57,0.83,0.68,0.34,0.57,0.67,0.56
doomlegacy.csv,0.53,0.69,0.54,0.43,0.64,0.56,0.69,0.78,0.57,0.73,0.69,0.54,0.01,0.59,0.31,0.67,0.89,0.72
elmo.csv,0.95,0.01,0.99,0.89,0.97,1.0,0.94,0.81,0.93,0.94,0.93,0.85,0.95,0.94,0.87,0.94,0.91,0.94
geochat.csv,0.66,0.81,0.62,0.73,0.6,0.77,0.62,0.77,0.93,0.87,0.47,0.56,0.7,0.66,0.61,0.51,0.67,0.07
gpac.csv,0.69,1.01,0.68,0.77,0.73,0.66,0.82,0.03,0.56,0.96,0.7,0.65,0.76,0.77,0.63,0.64,0.77,0.75
illumination.csv,0.91,0.81,0.87,0.92,0.92,0.79,0.96,0.95,0.89,1.0,0.8,0.89,0.72,0.06,0.82,0.8,0.69,0.72
ktc.csv,0.04,0.62,0.52,0.91,0.53,0.67,0.76,0.65,0.7,0.74,0.72,0.59,0.7,0.73,0.86,0.65,0.6,0.57
neoengine.csv,0.55,0.85,0.04,0.78,0.52,0.72,0.65,0.55,0.65,0.59,0.61,0.56,0.75,0.72,0.69,0.58,0.65,0.69
nicepress.csv,0.63,1.0,0.76,0.89,0.6,0.0,0.73,0.77,0.7,1.01,0.73,0.65,0.86,0.58,0.69,0.7,0.66,0.85
omseek.csv,0.94,0.82,0.94,0.89,0.85,0.66,0.9,0.71,0.93,0.93,0.95,0.03,0.95,0.89,1.0,0.83,0.66,0.94
open-ms.csv,0.76,0.72,0.82,0.91,0.67,0.87,0.9,0.83,0.77,0.8,0.73,0.86,0.72,0.84,0.93,0.12,0.8,0.74
pi-qmc.csv,0.44,0.99,0.65,0.75,0.47,0.53,0.68,0.81,0.55,0.88,0.58,0.57,0.65,0.7,0.09,0.56,0.69,0.59
rosegarden.csv,0.41,0.66,0.51,0.69,0.05,0.65,0.72,0.78,0.67,0.66,0.61,0.61,0.57,0.91,0.5,0.6,0.56,0.94
smarttag.csv,0.54,1.01,0.43,0.68,0.62,0.5,0.69,0.75,0.46,0.0,0.67,0.7,0.64,0.64,0.77,0.68,0.76,0.64
sylpheed-claws.csv,0.51,0.54,0.51,0.57,0.49,0.52,0.63,0.64,0.03,0.89,0.59,0.51,0.61,0.68,0.47,0.64,0.58,0.76
tango-cs.csv,0.54,1.01,0.62,0.62,0.59,0.67,0.73,0.85,0.7,0.84,0.66,0.53,0.75,0.74,0.55,0.72,0.08,0.74
xemeiah.csv,0.42,0.68,0.53,0.66,0.49,0.56,0.54,0.68,0.6,0.81,0.05,0.5,0.64,0.59,0.46,0.61,0.62,0.69
zscreen.csv,0.51,0.55,0.5,0.09,0.59,0.56,0.78,0.98,0.93,0.82,0.68,0.58,0.59,0.78,0.56,0.62,0.74,0.69
