,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.5,0.11,0.47,0.65,0.27,0.51,1.0,0.58,0.6,0.28,0.52,0.16,0.73,0.22,0.59,0.28,0.43,0.32
doomlegacy.csv,0.52,0.08,0.49,0.83,0.33,0.44,0.6,0.58,0.57,0.26,0.47,0.16,1.0,0.27,0.56,0.24,0.37,0.24
elmo.csv,0.33,0.83,0.25,0.83,0.09,0.0,0.65,0.79,0.53,0.17,0.62,0.24,0.8,0.17,0.33,0.13,0.8,0.17
geochat.csv,0.52,0.1,0.44,0.7,0.36,0.37,0.67,0.58,0.49,0.25,0.61,0.15,0.76,0.23,0.35,0.32,0.42,1.0
gpac.csv,0.5,0.0,0.41,0.61,0.33,0.39,0.49,0.98,0.63,0.18,0.48,0.14,0.74,0.18,0.32,0.27,0.38,0.21
illumination.csv,0.67,0.09,0.34,0.44,0.31,0.33,0.68,0.38,0.62,0.0,0.5,0.06,0.76,1.0,0.67,0.21,0.41,0.23
ktc.csv,0.99,0.17,0.58,1.0,0.63,0.67,0.69,0.62,0.65,0.36,0.61,0.21,0.82,0.28,0.75,0.28,0.47,0.41
neoengine.csv,0.51,0.08,0.98,0.62,0.41,0.33,0.69,0.65,0.53,0.33,0.53,0.15,0.75,0.21,0.3,0.27,0.43,0.25
nicepress.csv,0.7,0.0,0.71,1.0,0.43,1.0,0.76,0.53,0.53,0.0,0.57,0.26,0.8,0.35,0.54,0.27,0.52,0.23
omseek.csv,0.29,0.07,0.5,0.83,0.31,0.57,0.57,0.55,0.57,0.15,0.24,1.0,0.56,0.2,0.0,0.27,0.43,0.25
open-ms.csv,0.37,0.08,0.3,0.55,0.32,0.42,0.51,0.71,0.44,0.26,0.45,0.08,0.75,0.15,0.15,1.0,0.38,0.22
pi-qmc.csv,0.62,0.06,0.43,0.61,0.46,0.46,0.58,0.58,0.62,0.22,0.55,0.15,0.82,0.21,1.0,0.29,0.41,0.31
rosegarden.csv,0.75,0.1,0.63,0.66,0.98,0.48,0.66,0.56,0.58,0.32,0.62,0.14,0.82,0.12,0.85,0.3,0.49,0.11
smarttag.csv,0.56,0.0,0.64,0.76,0.47,0.56,0.59,0.59,0.67,1.0,0.5,0.12,0.81,0.24,1.0,0.24,0.36,0.3
sylpheed-claws.csv,0.6,0.11,0.58,0.74,0.45,0.51,0.62,0.59,0.98,0.18,0.56,0.17,0.81,0.22,0.44,0.23,0.48,0.22
tango-cs.csv,0.56,0.0,0.44,0.72,0.37,0.38,0.61,0.43,0.53,0.2,0.55,0.18,0.73,0.21,0.37,0.27,0.93,0.22
xemeiah.csv,0.7,0.09,0.51,0.84,0.5,0.44,0.83,0.57,0.57,0.3,0.97,0.24,0.8,0.32,0.75,0.26,0.46,0.28
zscreen.csv,0.54,0.11,0.52,0.98,0.36,0.45,0.59,0.54,0.49,0.29,0.5,0.15,0.83,0.18,0.44,0.24,0.41,0.25
