,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.26,0.46,0.54,0.54,0.76,0.46,0.53,0.8,0.51,0.67,0.0,0.53,0.38,0.88,0.72,0.45,0.8,0.9,0.31
dspace-gsoc.csv,0.26,0.38,0.37,0.51,0.38,0.29,0.45,0.58,0.41,0.28,0.43,0.36,0.35,0.39,0.46,0.85,0.75,0.67,0.34
grisbi.csv,0.26,0.46,0.44,0.53,0.44,0.36,0.47,0.39,0.45,0.32,0.37,0.36,0.31,0.36,0.45,0.45,0.42,0.39,0.32
maidsafe-dht.csv,0.59,0.82,0.47,0.66,0.61,0.34,0.5,0.48,0.49,0.29,0.5,0.49,0.38,0.52,0.62,0.46,0.89,0.61,0.32
mesa3d.csv,0.99,0.73,0.0,0.93,0.5,0.53,0.49,0.45,0.51,0.53,0.34,0.53,0.71,0.59,0.46,0.48,0.0,0.75,0.86
n2cms.csv,0.42,0.52,0.41,0.69,0.4,0.35,0.46,0.35,0.49,0.28,0.58,0.38,0.38,0.33,0.41,0.43,0.46,0.37,0.28
nassp.csv,0.0,0.71,0.44,0.65,0.8,0.5,0.53,0.5,0.94,0.64,0.67,0.59,0.69,0.94,0.5,0.41,0.48,0.69,0.53
ninject.csv,0.99,0.55,0.67,0.88,0.51,0.5,0.91,0.62,0.61,0.61,0.0,0.55,0.55,0.35,0.94,0.7,0.69,0.46,0.31
nug.csv,0.27,0.41,0.58,0.65,0.85,0.74,0.97,0.62,0.53,0.0,0.94,0.57,0.43,0.64,0.9,0.99,0.4,0.42,0.67
nuttx.csv,0.99,0.93,0.85,0.71,0.8,0.39,0.67,0.5,0.96,0.92,0.38,0.44,0.86,0.62,0.55,0.97,0.0,0.55,0.69
oorexx.csv,0.99,0.94,0.43,0.83,0.54,0.34,0.46,0.44,0.96,0.44,0.34,0.4,0.5,0.96,0.46,0.97,0.0,0.42,0.8
oppna-program-hsatools.csv,0.26,0.44,0.44,0.57,0.43,0.31,0.47,0.33,0.43,0.28,0.0,0.4,0.31,0.41,0.5,0.45,0.4,0.38,0.32
redshell.csv,0.27,0.96,0.97,0.56,0.6,0.64,0.55,0.68,0.56,0.75,0.61,0.43,0.5,0.4,0.62,0.71,0.47,0.79,0.41
super-tux.csv,0.43,0.54,0.59,0.61,0.42,0.47,0.56,0.46,0.49,0.48,0.35,0.44,0.3,0.39,0.42,0.48,0.0,0.67,0.42
tart.csv,0.0,0.81,0.61,0.88,0.57,0.45,0.52,0.48,0.48,0.32,0.37,0.65,0.46,0.36,0.54,0.97,0.71,0.67,0.8
tcvp.csv,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.92,0.0,0.68,0.91,0.0,0.66,0.0,0.5,0.0,0.0,0.0
vdsf.csv,0.99,0.49,0.46,0.68,0.44,0.41,0.49,0.38,0.46,0.35,0.82,0.48,0.33,0.36,0.54,0.47,0.38,0.42,0.33
web-cat.csv,0.53,0.43,0.43,0.71,0.4,0.34,0.48,0.37,0.44,0.35,0.37,0.37,0.42,0.36,0.46,0.62,0.43,0.4,0.52
zabbix.csv,0.99,0.47,0.44,0.75,0.61,0.36,0.45,0.48,0.61,0.45,0.46,0.47,0.43,0.69,0.45,0.48,0.42,0.55,0.65
