,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.42,0.89,0.98,0.95,0.79,0.58,0.98,1.0,0.95,0.93,0.97
ivef-sdk.csv,0.66,0.54,0.0,0.82,0.7,0.79,0.97,0.41,0.66,1.0,0.83
jaolt.csv,0.66,0.48,0.81,0.76,0.57,0.73,0.88,0.47,0.79,0.62,0.86
jmule.csv,0.74,0.63,0.92,0.83,0.63,0.86,0.4,0.59,0.9,0.72,0.21
jstock.csv,0.66,0.59,1.18,0.71,0.76,0.56,0.24,0.44,0.83,0.59,0.96
lphant.csv,0.57,0.71,0.97,0.7,0.7,0.37,0.52,0.46,0.8,0.55,0.59
novembre.csv,0.82,0.38,0.97,0.77,0.75,0.75,0.8,0.82,0.99,1.0,0.72
oorexx.csv,0.67,0.88,0.99,0.92,0.79,0.79,0.56,0.55,0.78,0.47,0.69
pi-qmc.csv,0.73,0.85,1.22,0.74,0.8,0.7,0.71,0.25,0.83,0.7,0.63
qedo.csv,0.87,0.9,0.12,0.87,0.95,0.83,0.74,0.92,0.35,0.79,0.75
yaprm.csv,0.43,0.5,0.89,0.45,0.87,0.82,0.71,0.51,0.61,0.65,0.8
